secondary_study_accession	Sample IDs	run_accession	Date Isolated	scientific_name	experiment_title	study_title	Host Species	Host Variety	Tissue	Age	Stress-disease	Manuscript	High level variety	High level tissue	High level age	High level stress-disease	location	country	Infection Percentage	Fungicide Treatment	left	right	Collector
Boshoff et al., 2020	18.0166	18_0166	2018/05/24	Puccinia Striiformis f. sp. Tritici	Boshoff et al., 2020	Boshoff et al., 2020	Triticum aestivum	SST-806	Infected Leaf	2 Leaf	Yellow Rust	https://doi.org/10.1094/PDIS-07-19-1395-PDN	SST-806	Infected Leaf	2 Leaf	Yellow Rust	Hopetown	South Africa	Severe	Unknown	raw_reads/18_0166/R1.fq.gz	raw_reads/18_0166/R2.fq.gz	Willem Boshoff
Boshoff et al., 2020	18.0167	18_0167	2018/05/25	Puccinia Striiformis f. sp. Tritici	Boshoff et al., 2020	Boshoff et al., 2020	Triticum aestivum	JIC871	Infected Leaf	2 Leaf	Yellow Rust	https://doi.org/10.1094/PDIS-07-19-1395-PDN	JIC871	Infected Leaf	2 Leaf	Yellow Rust	Bloemfontein	South Africa	Unknown	Unknown	raw_reads/18_0167/R1.fq.gz	raw_reads/18_0167/R2.fq.gz	Willem Boshoff
Boshoff et al., 2020	18.0169	18_0169	2018/11/04	Puccinia Striiformis f. sp. Tritici	Boshoff et al., 2020	Boshoff et al., 2020	Triticum aestivum	Unknown	Infected Leaf	1 Leaf	Yellow Rust	https://doi.org/10.1094/PDIS-07-19-1395-PDN	Unknown	Infected Leaf	1 Leaf	Yellow Rust	Lesotho	Lesotho	Unknown	Unknown	raw_reads/18_0169/R1.fq.gz	raw_reads/18_0169/R2.fq.gz	Willem Boshoff
Boshoff et al., 2020	18.0171	18_0171	2018/11/04	Puccinia Striiformis f. sp. Tritici	Boshoff et al., 2020	Boshoff et al., 2020	Triticum aestivum	Palmiet	Infected Leaf	1 Leaf	Yellow Rust	https://doi.org/10.1094/PDIS-07-19-1395-PDN	Palmiet	Infected Leaf	1 Leaf	Yellow Rust	Western Cape	South Africa	Unknown	Unknown	raw_reads/18_0171/R1.fq.gz	raw_reads/18_0171/R2.fq.gz	Willem Boshoff
Boshoff et al., 2020	18.0172	18_0172	2018/11/04	Puccinia Striiformis f. sp. Tritici	Boshoff et al., 2020	Boshoff et al., 2020	Secale cereale	Wild Rye	Infected Leaf	1 Leaf	Yellow Rust	https://doi.org/10.1094/PDIS-07-19-1395-PDN	Wild Rye	Infected Leaf	1 Leaf	Yellow Rust	Sutherland	South Africa	Unknown	Unknown	raw_reads/18_0171/R1.fq.gz	raw_reads/18_0171/R2.fq.gz	Willem Boshoff
Boshoff et al., 2020	18.0173	18_0173	2018/11/04	Puccinia Striiformis f. sp. Tritici	Boshoff et al., 2020	Boshoff et al., 2020	Triticum aestivum	Unknown	Infected Leaf	1 Leaf	Yellow Rust	https://doi.org/10.1094/PDIS-07-19-1395-PDN	Unknown	Infected Leaf	1 Leaf	Yellow Rust	Free State	South Africa	Unknown	Unknown	raw_reads/18_0173/R1.fq.gz	raw_reads/18_0173/R2.fq.gz	Willem Boshoff
Boshoff et al., 2020	18.0175	18_0175	2018/11/04	Puccinia Striiformis f. sp. Tritici	Boshoff et al., 2020	Boshoff et al., 2020	Triticum aestivum	Hugenoot	Infected Leaf	1 Leaf	Yellow Rust	https://doi.org/10.1094/PDIS-07-19-1395-PDN	Hugenoot	Infected Leaf	1 Leaf	Yellow Rust	Free State	South Africa	Unknown	Unknown	raw_reads/18_0175/R1.fq.gz	raw_reads/18_0175/R2.fq.gz	Willem Boshoff
Boshoff et al., 2020	18.0177	18_0177	2018/11/04	Puccinia Striiformis f. sp. Tritici	Boshoff et al., 2020	Boshoff et al., 2020	Triticum aestivum	Unknown	Infected Leaf	1 Leaf	Yellow Rust	https://doi.org/10.1094/PDIS-07-19-1395-PDN	Unknown	Infected Leaf	1 Leaf	Yellow Rust	Northern Cape	South Africa	Unknown	Unknown	raw_reads/18_0177/R1.fq.gz	raw_reads/18_0177/R2.fq.gz	Willem Boshoff
Boshoff et al., 2020	18.0178	18_0178	2018/11/04	Puccinia Striiformis f. sp. Tritici	Boshoff et al., 2020	Boshoff et al., 2020	Triticum aestivum	Nduna	Infected Leaf	1 Leaf	Yellow Rust	https://doi.org/10.1094/PDIS-07-19-1395-PDN	Nduna	Infected Leaf	1 Leaf	Yellow Rust	Zimbabwae	Zimbabwae	Unknown	Unknown	raw_reads/18_0178/R1.fq.gz	raw_reads/18_0178/R2.fq.gz	Willem Boshoff
Boshoff et al., 2020	18.0183	18_0183	2018/11/04	Puccinia Striiformis f. sp. Tritici	Boshoff et al., 2020	Boshoff et al., 2020	Triticum aestivum	Nduna	Infected Leaf	1 Leaf	Yellow Rust	https://doi.org/10.1094/PDIS-07-19-1395-PDN	Nduna	Infected Leaf	1 Leaf	Yellow Rust	Zimbabwae	Zimbabwae	Unknown	Unknown	raw_reads/18_0183/R1.fq.gz	raw_reads/18_0183/R2.fq.gz	Willem Boshoff
Boshoff et al., 2020	18.0184	18_0184	2018/11/04	Puccinia Striiformis f. sp. Tritici	Boshoff et al., 2020	Boshoff et al., 2020	Triticum aestivum	Nduna	Infected Leaf	1 Leaf	Yellow Rust	https://doi.org/10.1094/PDIS-07-19-1395-PDN	Nduna	Infected Leaf	1 Leaf	Yellow Rust	Zimbabwae	Zimbabwae	Unknown	Unknown	raw_reads/18_0184/R1.fq.gz	raw_reads/18_0184/R2.fq.gz	Willem Boshoff
