secondary_study_accession	Sample IDs	run_accession	Date Isolated	scientific_name	experiment_title	study_title	Host Species	Host Variety	Tissue	Age	Stress-disease	Manuscript	High level variety	High level tissue	High level age	High level stress-disease	location	country	Infection Percentage	Fungicide Treatment	left	right	Collector
Bueno-Sancho et al., 2017	14.0001	14_0001	2014/05/21	Puccinia Striiformis f. sp. Tritici	Bueno-Sancho et al., 2017	Bueno-Sancho et al., 2017	Unknown	Unknown	Infected Leaf	Unknown	Yellow Rust	https://doi.org/10.1093/gbe/evx241	Unknown	Infected Leaf	Unknown	Yellow Rust	Osijek	Croatia	Unknown	Unknown	raw_reads/14_0001/R1.fq.gz	raw_reads/14_0001/R2.fq.gz	Novosevovie
Bueno-Sancho et al., 2017	14.0002	14_0002	2014/06/12	Puccinia Striiformis f. sp. Tritici	Bueno-Sancho et al., 2017	Bueno-Sancho et al., 2017	Triticum aestivum	Tilman	Infected Leaf	Unknown	Yellow Rust	https://doi.org/10.1093/gbe/evx241	Tilman	Infected Leaf	Unknown	Yellow Rust	Rokytnice	Czechia	Unknown	Unknown	raw_reads/14_0002/R1.fq.gz	raw_reads/14_0002/R2.fq.gz	Vaclav Sklenar
Bueno-Sancho et al., 2017	14.0004	14_0004	2014/06/16	Puccinia Striiformis f. sp. Tritici	Bueno-Sancho et al., 2017	Bueno-Sancho et al., 2017	Triticum aestivum	Glasgow	Infected Leaf	Unknown	Yellow Rust	https://doi.org/10.1093/gbe/evx241	Glasgow	Infected Leaf	Unknown	Yellow Rust	Marchélepot	France	Unknown	Unknown	raw_reads/14_0004/R1.fq.gz	raw_reads/14_0004/R2.fq.gz	J-C Talbourdet
Bueno-Sancho et al., 2017	14.0005	14_0005	2014/06/16	Puccinia Striiformis f. sp. Tritici	Bueno-Sancho et al., 2017	Bueno-Sancho et al., 2017	Triticum aestivum	Trapez	Infected Leaf	Unknown	Yellow Rust	https://doi.org/10.1093/gbe/evx241	Trapez	Infected Leaf	Unknown	Yellow Rust	Marchélepot	France	Unknown	Unknown	raw_reads/14_0005/R1.fq.gz	raw_reads/14_0005/R2.fq.gz	J-C Talbourdet
Bueno-Sancho et al., 2017	14.0006	14_0006	2014/06/16	Puccinia Striiformis f. sp. Tritici	Bueno-Sancho et al., 2017	Bueno-Sancho et al., 2017	Triticum aestivum	Bergamo	Infected Leaf	Unknown	Yellow Rust	https://doi.org/10.1093/gbe/evx241	Bergamo	Infected Leaf	Unknown	Yellow Rust	Marchélepot	France	Unknown	Unknown	raw_reads/14_0006/R1.fq.gz	raw_reads/14_0006/R2.fq.gz	J-C Talbourdet
Bueno-Sancho et al., 2017	14.0007	14_0007	2014/06/10	Puccinia Striiformis f. sp. Tritici	Bueno-Sancho et al., 2017	Bueno-Sancho et al., 2017	Triticum aestivum	Trapez	Infected Leaf	Unknown	Yellow Rust	https://doi.org/10.1093/gbe/evx241	Trapez	Infected Leaf	Unknown	Yellow Rust	Vauroisy	France	Unknown	Unknown	raw_reads/14_0007/R1.fq.gz	raw_reads/14_0007/R2.fq.gz	Briard
Bueno-Sancho et al., 2017	14.0008	14_0008	2014/05/19	Puccinia Striiformis f. sp. Tritici	Bueno-Sancho et al., 2017	Bueno-Sancho et al., 2017	Triticum aestivum	Sax	Infected Leaf	Unknown	Yellow Rust	https://doi.org/10.1093/gbe/evx241	Sax	Infected Leaf	Unknown	Yellow Rust	Groß Enzersdorf	Austria	Unknown	Unknown	raw_reads/14_0008/R1.fq.gz	raw_reads/14_0008/R2.fq.gz	Susanne Kirchmaier
Bueno-Sancho et al., 2017	14.0009	14_0009	2014/05/22	Puccinia Striiformis f. sp. Tritici	Bueno-Sancho et al., 2017	Bueno-Sancho et al., 2017	Triticum aestivum	Sax	Infected Leaf	Unknown	Yellow Rust	https://doi.org/10.1093/gbe/evx241	Sax	Infected Leaf	Unknown	Yellow Rust	Gießhübl	Austria	Unknown	Unknown	raw_reads/14_0009/R1.fq.gz	raw_reads/14_0009/R2.fq.gz	Susanne Kirchmaier
Bueno-Sancho et al., 2017	14.0010	14_0010	2014/05/22	Puccinia Striiformis f. sp. Tritici	Bueno-Sancho et al., 2017	Bueno-Sancho et al., 2017	Unknown	Unknown	Infected Leaf	Unknown	Yellow Rust	https://doi.org/10.1093/gbe/evx241	Unknown	Infected Leaf	Unknown	Yellow Rust	Choryn	Poland	Unknown	Unknown	raw_reads/14_0010/R1.fq.gz	raw_reads/14_0010/R2.fq.gz	Zofia Banaszak
Bueno-Sancho et al., 2017	14.0011	14_0011	2014/05/13	Puccinia Striiformis f. sp. Tritici	Bueno-Sancho et al., 2017	Bueno-Sancho et al., 2017	Unknown	Unknown	Infected Leaf	Unknown	Yellow Rust	https://doi.org/10.1093/gbe/evx241	Unknown	Infected Leaf	Unknown	Yellow Rust	Unknown	Croatia	Unknown	Unknown	raw_reads/14_0011/R1.fq.gz	raw_reads/14_0011/R2.fq.gz	Alison Bentley
Bueno-Sancho et al., 2017	14.0014	14_0014	2014/06/04	Puccinia Striiformis f. sp. Tritici	Bueno-Sancho et al., 2017	Bueno-Sancho et al., 2017	Triticum aestivum	Altigo	Infected Leaf	Unknown	Yellow Rust	https://doi.org/10.1093/gbe/evx241	Altigo	Infected Leaf	Unknown	Yellow Rust	Gourhel	France	Unknown	Unknown	raw_reads/14_0014/R1.fq.gz	raw_reads/14_0014/R2.fq.gz	Grellier
Bueno-Sancho et al., 2017	14.0015	14_0015	2014/06/04	Puccinia Striiformis f. sp. Tritici	Bueno-Sancho et al., 2017	Bueno-Sancho et al., 2017	Triticum aestivum	Expert	Infected Leaf	Unknown	Yellow Rust	https://doi.org/10.1093/gbe/evx241	Expert	Infected Leaf	Unknown	Yellow Rust	Guégon	France	Unknown	Unknown	raw_reads/14_0015/R1.fq.gz	raw_reads/14_0015/R2.fq.gz	Grellier
Bueno-Sancho et al., 2017	14.0016	14_0016	2014/06/04	Puccinia Striiformis f. sp. Tritici	Bueno-Sancho et al., 2017	Bueno-Sancho et al., 2017	Triticum aestivum	Alixan	Infected Leaf	Unknown	Yellow Rust	https://doi.org/10.1093/gbe/evx241	Alixan	Infected Leaf	Unknown	Yellow Rust	Loyat	France	Unknown	Unknown	raw_reads/14_0016/R1.fq.gz	raw_reads/14_0016/R2.fq.gz	Grellier
Bueno-Sancho et al., 2017	14.0017	14_0017	2014/02/21	Puccinia Striiformis f. sp. Tritici	Bueno-Sancho et al., 2017	Bueno-Sancho et al., 2017	Triticum aestivum	Victo	Infected Leaf	Unknown	Yellow Rust	https://doi.org/10.1093/gbe/evx241	Victo	Infected Leaf	Unknown	Yellow Rust	Sutton Scotney	UK	Unknown	Unknown	raw_reads/14_0017/R1.fq.gz	raw_reads/14_0017/R2.fq.gz	Amelia Hubbard
Bueno-Sancho et al., 2017	14.0018	14_0018	2014/02/21	Puccinia Striiformis f. sp. Tritici	Bueno-Sancho et al., 2017	Bueno-Sancho et al., 2017	Triticum aestivum	Oakley	Infected Leaf	Unknown	Yellow Rust	https://doi.org/10.1093/gbe/evx241	Oakley	Infected Leaf	Unknown	Yellow Rust	Sutton Scotney	UK	Unknown	Unknown	raw_reads/14_0018/R1.fq.gz	raw_reads/14_0018/R2.fq.gz	Amelia Hubbard
Bueno-Sancho et al., 2017	14.0019	14_0019	2014/03/07	Puccinia Striiformis f. sp. Tritici	Bueno-Sancho et al., 2017	Bueno-Sancho et al., 2017	Triticum aestivum	Panorama	Infected Leaf	Unknown	Yellow Rust	https://doi.org/10.1093/gbe/evx241	Panorama	Infected Leaf	Unknown	Yellow Rust	UK	UK	Unknown	Unknown	raw_reads/14_0019/R1.fq.gz	raw_reads/14_0019/R2.fq.gz	Amelia Hubbard
Bueno-Sancho et al., 2017	14.0020	14_0020	2014/03/07	Puccinia Striiformis f. sp. Tritici	Bueno-Sancho et al., 2017	Bueno-Sancho et al., 2017	Triticum aestivum	KWS Target	Infected Leaf	Unknown	Yellow Rust	https://doi.org/10.1093/gbe/evx241	KWS Target	Infected Leaf	Unknown	Yellow Rust	UK	UK	Unknown	Unknown	raw_reads/14_0020/R1.fq.gz	raw_reads/14_0020/R2.fq.gz	Amelia Hubbard
Bueno-Sancho et al., 2017	14.0021	14_0021	2014/03/18	Puccinia Striiformis f. sp. Tritici	Bueno-Sancho et al., 2017	Bueno-Sancho et al., 2017	Triticum aestivum	Unknown	Infected Leaf	Unknown	Yellow Rust	https://doi.org/10.1093/gbe/evx241	Unknown	Infected Leaf	Unknown	Yellow Rust	UK	UK	Unknown	Unknown	raw_reads/14_0021/R1.fq.gz	raw_reads/14_0021/R2.fq.gz	Amelia Hubbard
Bueno-Sancho et al., 2017	14.0023	14_0023	2014	Puccinia Striiformis f. sp. Tritici	Bueno-Sancho et al., 2017	Bueno-Sancho et al., 2017	Triticum aestivum	Cocoon	Infected Leaf	Unknown	Yellow Rust	https://doi.org/10.1093/gbe/evx241	Cocoon	Infected Leaf	Unknown	Yellow Rust	UK	UK	Unknown	Unknown	raw_reads/14_0023/R1.fq.gz	raw_reads/14_0023/R2.fq.gz	Amelia Hubbard
