secondary_study_accession	Sample IDs	run_accession	Date Isolated	scientific_name	experiment_title	study_title	Host Species	Host Variety	Tissue	Age	Stress-disease	Manuscript	High level variety	High level tissue	High level age	High level stress-disease	location	country	Infection Percentage	Fungicide Treatment	left	right	Collector
Corredor-Moreno et al., in press	16.0120	16_0120	2016/03/21	Puccinia Striiformis f. sp. Tritici	Corredor-Moreno et al., in press	Corredor-Moreno et al., in press	Triticum aestivum	KWS Santiago	Infected Leaf	Unknown	Yellow Rust	Unpublished	KWS Santiago	Infected Leaf	Unknown	Yellow Rust	Chelsworth	UK	Unknown	Unknown	raw_reads/16_0120/R1.fq.gz	raw_reads/16_0120/R2.fq.gz	John Williams
Corredor-Moreno et al., in press	15.0130	15_0130	2015/05/18	Puccinia Striiformis f. sp. Tritici	Corredor-Moreno et al., in press	Corredor-Moreno et al., in press	Triticum aestivum	KWS Santiago	Infected Leaf	Unknown	Yellow Rust	Unpublished	KWS Santiago	Infected Leaf	Unknown	Yellow Rust	Whattisham	UK	7	Unknown	raw_reads/15_0130/R1.fq.gz	raw_reads/15_0130/R2.fq.gz	Javier Pericas
Corredor-Moreno et al., in press	15.0040	15_0040	2015/04/24	Puccinia Striiformis f. sp. Tritici	Corredor-Moreno et al., in press	Corredor-Moreno et al., in press	Triticum aestivum	KWS Santiago	Infected Leaf	Unknown	Yellow Rust	Unpublished	KWS Santiago	Infected Leaf	Unknown	Yellow Rust	Cambridge	UK	Unknown	Unknown	raw_reads/15_0040/R1.fq.gz	raw_reads/15_0040/R2.fq.gz	Amelia Hubbard
Corredor-Moreno et al., in press	16.0612	16_0612	2016/06/13	Puccinia Striiformis f. sp. Tritici	Corredor-Moreno et al., in press	Corredor-Moreno et al., in press	Triticum aestivum	KWS Santiago	Infected Leaf	Unknown	Yellow Rust	Unpublished	KWS Santiago	Infected Leaf	Unknown	Yellow Rust	Fowlmere	UK	Unknown	Unknown	raw_reads/16_0612/R1.fq.gz	raw_reads/16_0612/R2.fq.gz	Jacob Lage
Corredor-Moreno et al., in press	16.0607	16_0607	2016/06/08	Puccinia Striiformis f. sp. Tritici	Corredor-Moreno et al., in press	Corredor-Moreno et al., in press	Triticum aestivum	Oakley	Infected Leaf	Unknown	Yellow Rust	Unpublished	Oakley	Infected Leaf	Unknown	Yellow Rust	Allonnes	France	Unknown	Unknown	raw_reads/16_0607/R1.fq.gz	raw_reads/16_0607/R2.fq.gz	KWS
Corredor-Moreno et al., in press	16.0606	16_0606	2016/06/08	Puccinia Striiformis f. sp. Tritici	Corredor-Moreno et al., in press	Corredor-Moreno et al., in press	Triticum aestivum	Oakley	Infected Leaf	Unknown	Yellow Rust	Unpublished	Oakley	Infected Leaf	Unknown	Yellow Rust	Allonnes	France	Unknown	Unknown	raw_reads/16_0606/R1.fq.gz	raw_reads/16_0606/R2.fq.gz	KWS
Corredor-Moreno et al., in press	16.0603	16_0603	2016/06/08	Puccinia Striiformis f. sp. Tritici	Corredor-Moreno et al., in press	Corredor-Moreno et al., in press	Triticum aestivum	KWS Santiago	Infected Leaf	Unknown	Yellow Rust	Unpublished	KWS Santiago	Infected Leaf	Unknown	Yellow Rust	Fowlmere	UK	Unknown	Unknown	raw_reads/16_0603/R1.fq.gz	raw_reads/16_0603/R2.fq.gz	Jacob Lage
Corredor-Moreno et al., in press	16.0206	16_0206	2016/06/17	Puccinia Striiformis f. sp. Tritici	Corredor-Moreno et al., in press	Corredor-Moreno et al., in press	Triticum aestivum	Oakley	Infected Leaf	Anthesis	Yellow Rust	Unpublished	Oakley	Infected Leaf	Anthesis	Yellow Rust	Ickleton	UK	70	None	raw_reads/16_0206/R1.fq.gz	raw_reads/16_0206/R2.fq.gz	Ruth Bryant
Corredor-Moreno et al., in press	16.0117	16_0117	2016/03/22	Puccinia Striiformis f. sp. Tritici	Corredor-Moreno et al., in press	Corredor-Moreno et al., in press	Triticum aestivum	KWS Santiago	Infected Leaf	Unknown	Yellow Rust	Unpublished	KWS Santiago	Infected Leaf	Unknown	Yellow Rust	West Wickham	UK	Unknown	Unknown	raw_reads/16_0117/R1.fq.gz	raw_reads/16_0117/R2.fq.gz	John Williams
Corredor-Moreno et al., in press	16.0112	16_0112	2016/03/21	Puccinia Striiformis f. sp. Tritici	Corredor-Moreno et al., in press	Corredor-Moreno et al., in press	Triticum aestivum	Solstice	Infected Leaf	Unknown	Yellow Rust	Unpublished	Solstice	Infected Leaf	Unknown	Yellow Rust	Layer de la Haye	UK	Unknown	Unknown	raw_reads/16_0112/R1.fq.gz	raw_reads/16_0112/R2.fq.gz	John Williams
Corredor-Moreno et al., in press	15.0499	15_0499	2015/06/18	Puccinia Striiformis f. sp. Tritici	Corredor-Moreno et al., in press	Corredor-Moreno et al., in press	Triticum aestivum	Solstice	Infected Leaf	Unknown	Yellow Rust	Unpublished	Solstice	Infected Leaf	Unknown	Yellow Rust	Headley Hall	UK	Unknown	Unknown	raw_reads/15_0499/R1.fq.gz	raw_reads/15_0499/R2.fq.gz	UKCPVS
Corredor-Moreno et al., in press	15.0417	15_0417	2015/06/18	Puccinia Striiformis f. sp. Tritici	Corredor-Moreno et al., in press	Corredor-Moreno et al., in press	Triticum aestivum	KWS Santiago	Infected Leaf	Grain Filling	Yellow Rust	Unpublished	KWS Santiago	Infected Leaf	Grain Filling	Yellow Rust	Newton	UK	10	Unknown	raw_reads/15_0417/R1.fq.gz	raw_reads/15_0417/R2.fq.gz	Jacob Lage
Corredor-Moreno et al., in press	15.0406	15_0406	2015/06/25	Puccinia Striiformis f. sp. Tritici	Corredor-Moreno et al., in press	Corredor-Moreno et al., in press	Triticum aestivum	Solstice	Infected Leaf	GS 71	Yellow Rust	Unpublished	Solstice	Infected Leaf	GS 71	Yellow Rust	Melton Mowbray	UK	50	None	raw_reads/15_0406/R1.fq.gz	raw_reads/15_0406/R2.fq.gz	John Rides
Corredor-Moreno et al., in press	15.0404	15_0404	2015/06/25	Puccinia Striiformis f. sp. Tritici	Corredor-Moreno et al., in press	Corredor-Moreno et al., in press	Triticum aestivum	KWS Santiago	Infected Leaf	GS 71	Yellow Rust	Unpublished	KWS Santiago	Infected Leaf	GS 71	Yellow Rust	Melton Mowbray	UK	2	None	raw_reads/15_0404/R1.fq.gz	raw_reads/15_0404/R2.fq.gz	John Rides
