secondary_study_accession	Sample IDs	run_accession	Date Isolated	scientific_name	experiment_title	study_title	Host Species	Host Variety	Tissue	Age	Stress-disease	Manuscript	High level variety	High level tissue	High level age	High level stress-disease	location	country	Infection Percentage	Fungicide Treatment	left	right	Collector
Dobon et al., 2016	87/66: Vuka: 0dpi	87_66_Vuka_0dpi_Rep1	1987	Puccinia Striiformis f. sp. Tritici	Dobon et al., 2016	Dobon et al., 2016	Triticum aestivum	Vuka	Infected Leaf	Three Leaf	Yellow Rust	https://doi.org/10.1186/s12864-016-2684-4	Vuka	Infected Leaf	Three Leaf	Yellow Rust	UK	UK	Unknown	Unknown	raw_reads/87_66_Vuka_0dpi_Rep1/R1.fq.gz	raw_reads/87_66_Vuka_0dpi_Rep1/R2.fq.gz	Unknown
Dobon et al., 2016	87/66: Vuka: 0dpi	87_66_Vuka_0dpi_Rep2	1987	Puccinia Striiformis f. sp. Tritici	Dobon et al., 2016	Dobon et al., 2016	Triticum aestivum	Vuka	Infected Leaf	Three Leaf	Yellow Rust	https://doi.org/10.1186/s12864-016-2684-4	Vuka	Infected Leaf	Three Leaf	Yellow Rust	UK	UK	Unknown	Unknown	raw_reads/87_66_Vuka_0dpi_Rep2/R1.fq.gz	raw_reads/87_66_Vuka_0dpi_Rep2/R2.fq.gz	Unknown
Dobon et al., 2016	87/66: Vuka: 0dpi	87_66_Vuka_0dpi_Rep3	1987	Puccinia Striiformis f. sp. Tritici	Dobon et al., 2016	Dobon et al., 2016	Triticum aestivum	Vuka	Infected Leaf	Three Leaf	Yellow Rust	https://doi.org/10.1186/s12864-016-2684-4	Vuka	Infected Leaf	Three Leaf	Yellow Rust	UK	UK	Unknown	Unknown	raw_reads/87_66_Vuka_0dpi_Rep3/R1.fq.gz	raw_reads/87_66_Vuka_0dpi_Rep3/R2.fq.gz	Unknown
Dobon et al., 2016	87/66: Vuka: 1dpi	87_66_Vuka_1dpi_Rep1	1987	Puccinia Striiformis f. sp. Tritici	Dobon et al., 2016	Dobon et al., 2016	Triticum aestivum	Vuka	Infected Leaf	Three Leaf	Yellow Rust	https://doi.org/10.1186/s12864-016-2684-4	Vuka	Infected Leaf	Three Leaf	Yellow Rust	UK	UK	Unknown	Unknown	raw_reads/87_66_Vuka_1dpi_Rep1/R1.fq.gz	raw_reads/87_66_Vuka_1dpi_Rep1/R2.fq.gz	Unknown
Dobon et al., 2016	87/66: Vuka: 1dpi	87_66_Vuka_1dpi_Rep2	1987	Puccinia Striiformis f. sp. Tritici	Dobon et al., 2016	Dobon et al., 2016	Triticum aestivum	Vuka	Infected Leaf	Three Leaf	Yellow Rust	https://doi.org/10.1186/s12864-016-2684-4	Vuka	Infected Leaf	Three Leaf	Yellow Rust	UK	UK	Unknown	Unknown	raw_reads/87_66_Vuka_1dpi_Rep2/R1.fq.gz	raw_reads/87_66_Vuka_1dpi_Rep2/R2.fq.gz	Unknown
Dobon et al., 2016	87/66: Vuka: 1dpi	87_66_Vuka_1dpi_Rep3	1987	Puccinia Striiformis f. sp. Tritici	Dobon et al., 2016	Dobon et al., 2016	Triticum aestivum	Vuka	Infected Leaf	Three Leaf	Yellow Rust	https://doi.org/10.1186/s12864-016-2684-4	Vuka	Infected Leaf	Three Leaf	Yellow Rust	UK	UK	Unknown	Unknown	raw_reads/87_66_Vuka_1dpi_Rep3/R1.fq.gz	raw_reads/87_66_Vuka_1dpi_Rep3/R2.fq.gz	Unknown
Dobon et al., 2016	87/66: Vuka: 2dpi	87_66_Vuka_2dpi_Rep1	1987	Puccinia Striiformis f. sp. Tritici	Dobon et al., 2016	Dobon et al., 2016	Triticum aestivum	Vuka	Infected Leaf	Three Leaf	Yellow Rust	https://doi.org/10.1186/s12864-016-2684-4	Vuka	Infected Leaf	Three Leaf	Yellow Rust	UK	UK	Unknown	Unknown	raw_reads/87_66_Vuka_2dpi_Rep1/R1.fq.gz	raw_reads/87_66_Vuka_2dpi_Rep1/R2.fq.gz	Unknown
Dobon et al., 2016	87/66: Vuka: 2dpi	87_66_Vuka_2dpi_Rep2	1987	Puccinia Striiformis f. sp. Tritici	Dobon et al., 2016	Dobon et al., 2016	Triticum aestivum	Vuka	Infected Leaf	Three Leaf	Yellow Rust	https://doi.org/10.1186/s12864-016-2684-4	Vuka	Infected Leaf	Three Leaf	Yellow Rust	UK	UK	Unknown	Unknown	raw_reads/87_66_Vuka_2dpi_Rep2/R1.fq.gz	raw_reads/87_66_Vuka_2dpi_Rep2/R2.fq.gz	Unknown
Dobon et al., 2016	87/66: Vuka: 2dpi	87_66_Vuka_2dpi_Rep3	1987	Puccinia Striiformis f. sp. Tritici	Dobon et al., 2016	Dobon et al., 2016	Triticum aestivum	Vuka	Infected Leaf	Three Leaf	Yellow Rust	https://doi.org/10.1186/s12864-016-2684-4	Vuka	Infected Leaf	Three Leaf	Yellow Rust	UK	UK	Unknown	Unknown	raw_reads/87_66_Vuka_2dpi_Rep3/R1.fq.gz	raw_reads/87_66_Vuka_2dpi_Rep3/R2.fq.gz	Unknown
Dobon et al., 2016	87/66: Vuka: 3dpi	87_66_Vuka_3dpi_Rep1	1987	Puccinia Striiformis f. sp. Tritici	Dobon et al., 2016	Dobon et al., 2016	Triticum aestivum	Vuka	Infected Leaf	Three Leaf	Yellow Rust	https://doi.org/10.1186/s12864-016-2684-4	Vuka	Infected Leaf	Three Leaf	Yellow Rust	UK	UK	Unknown	Unknown	raw_reads/87_66_Vuka_3dpi_Rep1/R1.fq.gz	raw_reads/87_66_Vuka_3dpi_Rep1/R2.fq.gz	Unknown
Dobon et al., 2016	87/66: Vuka: 3dpi	87_66_Vuka_3dpi_Rep2	1987	Puccinia Striiformis f. sp. Tritici	Dobon et al., 2016	Dobon et al., 2016	Triticum aestivum	Vuka	Infected Leaf	Three Leaf	Yellow Rust	https://doi.org/10.1186/s12864-016-2684-4	Vuka	Infected Leaf	Three Leaf	Yellow Rust	UK	UK	Unknown	Unknown	raw_reads/87_66_Vuka_3dpi_Rep2/R1.fq.gz	raw_reads/87_66_Vuka_3dpi_Rep2/R2.fq.gz	Unknown
Dobon et al., 2016	87/66: Vuka: 3dpi	87_66_Vuka_3dpi_Rep3	1987	Puccinia Striiformis f. sp. Tritici	Dobon et al., 2016	Dobon et al., 2016	Triticum aestivum	Vuka	Infected Leaf	Three Leaf	Yellow Rust	https://doi.org/10.1186/s12864-016-2684-4	Vuka	Infected Leaf	Three Leaf	Yellow Rust	UK	UK	Unknown	Unknown	raw_reads/87_66_Vuka_3dpi_Rep3/R1.fq.gz	raw_reads/87_66_Vuka_3dpi_Rep3/R2.fq.gz	Unknown
Dobon et al., 2016	87/66: Vuka: 5dpi	87_66_Vuka_5dpi_Rep1	1987	Puccinia Striiformis f. sp. Tritici	Dobon et al., 2016	Dobon et al., 2016	Triticum aestivum	Vuka	Infected Leaf	Three Leaf	Yellow Rust	https://doi.org/10.1186/s12864-016-2684-4	Vuka	Infected Leaf	Three Leaf	Yellow Rust	UK	UK	Unknown	Unknown	raw_reads/87_66_Vuka_5dpi_Rep1/R1.fq.gz	raw_reads/87_66_Vuka_5dpi_Rep1/R2.fq.gz	Unknown
Dobon et al., 2016	87/66: Vuka: 5dpi	87_66_Vuka_5dpi_Rep2	1987	Puccinia Striiformis f. sp. Tritici	Dobon et al., 2016	Dobon et al., 2016	Triticum aestivum	Vuka	Infected Leaf	Three Leaf	Yellow Rust	https://doi.org/10.1186/s12864-016-2684-4	Vuka	Infected Leaf	Three Leaf	Yellow Rust	UK	UK	Unknown	Unknown	raw_reads/87_66_Vuka_5dpi_Rep2/R1.fq.gz	raw_reads/87_66_Vuka_5dpi_Rep2/R2.fq.gz	Unknown
Dobon et al., 2016	87/66: Vuka: 5dpi	87_66_Vuka_5dpi_Rep3	1987	Puccinia Striiformis f. sp. Tritici	Dobon et al., 2016	Dobon et al., 2016	Triticum aestivum	Vuka	Infected Leaf	Three Leaf	Yellow Rust	https://doi.org/10.1186/s12864-016-2684-4	Vuka	Infected Leaf	Three Leaf	Yellow Rust	UK	UK	Unknown	Unknown	raw_reads/87_66_Vuka_5dpi_Rep3/R1.fq.gz	raw_reads/87_66_Vuka_5dpi_Rep3/R2.fq.gz	Unknown
Dobon et al., 2016	87/66: Vuka: 7dpi	87_66_Vuka_7dpi_Rep1	1987	Puccinia Striiformis f. sp. Tritici	Dobon et al., 2016	Dobon et al., 2016	Triticum aestivum	Vuka	Infected Leaf	Three Leaf	Yellow Rust	https://doi.org/10.1186/s12864-016-2684-4	Vuka	Infected Leaf	Three Leaf	Yellow Rust	UK	UK	Unknown	Unknown	raw_reads/87_66_Vuka_7dpi_Rep1/R1.fq.gz	raw_reads/87_66_Vuka_7dpi_Rep1/R2.fq.gz	Unknown
Dobon et al., 2016	87/66: Vuka: 7dpi	87_66_Vuka_7dpi_Rep2	1987	Puccinia Striiformis f. sp. Tritici	Dobon et al., 2016	Dobon et al., 2016	Triticum aestivum	Vuka	Infected Leaf	Three Leaf	Yellow Rust	https://doi.org/10.1186/s12864-016-2684-4	Vuka	Infected Leaf	Three Leaf	Yellow Rust	UK	UK	Unknown	Unknown	raw_reads/87_66_Vuka_7dpi_Rep2/R1.fq.gz	raw_reads/87_66_Vuka_7dpi_Rep2/R2.fq.gz	Unknown
Dobon et al., 2016	87/66: Vuka: 7dpi	87_66_Vuka_7dpi_Rep3	1987	Puccinia Striiformis f. sp. Tritici	Dobon et al., 2016	Dobon et al., 2016	Triticum aestivum	Vuka	Infected Leaf	Three Leaf	Yellow Rust	https://doi.org/10.1186/s12864-016-2684-4	Vuka	Infected Leaf	Three Leaf	Yellow Rust	UK	UK	Unknown	Unknown	raw_reads/87_66_Vuka_7dpi_Rep3/R1.fq.gz	raw_reads/87_66_Vuka_7dpi_Rep3/R2.fq.gz	Unknown
Dobon et al., 2016	87/66: Vuka: 9dpi	87_66_Vuka_9dpi_Rep1	1987	Puccinia Striiformis f. sp. Tritici	Dobon et al., 2016	Dobon et al., 2016	Triticum aestivum	Vuka	Infected Leaf	Three Leaf	Yellow Rust	https://doi.org/10.1186/s12864-016-2684-4	Vuka	Infected Leaf	Three Leaf	Yellow Rust	UK	UK	Unknown	Unknown	raw_reads/87_66_Vuka_9dpi_Rep1/R1.fq.gz	raw_reads/87_66_Vuka_9dpi_Rep1/R2.fq.gz	Unknown
Dobon et al., 2016	87/66: Vuka: 9dpi	87_66_Vuka_9dpi_Rep2	1987	Puccinia Striiformis f. sp. Tritici	Dobon et al., 2016	Dobon et al., 2016	Triticum aestivum	Vuka	Infected Leaf	Three Leaf	Yellow Rust	https://doi.org/10.1186/s12864-016-2684-4	Vuka	Infected Leaf	Three Leaf	Yellow Rust	UK	UK	Unknown	Unknown	raw_reads/87_66_Vuka_9dpi_Rep2/R1.fq.gz	raw_reads/87_66_Vuka_9dpi_Rep2/R2.fq.gz	Unknown
Dobon et al., 2016	87/66: Vuka: 9dpi	87_66_Vuka_9dpi_Rep3	1987	Puccinia Striiformis f. sp. Tritici	Dobon et al., 2016	Dobon et al., 2016	Triticum aestivum	Vuka	Infected Leaf	Three Leaf	Yellow Rust	https://doi.org/10.1186/s12864-016-2684-4	Vuka	Infected Leaf	Three Leaf	Yellow Rust	UK	UK	Unknown	Unknown	raw_reads/87_66_Vuka_9dpi_Rep3/R1.fq.gz	raw_reads/87_66_Vuka_9dpi_Rep3/R2.fq.gz	Unknown
Dobon et al., 2016	87/66: Vuka: 11dpi	87_66_Vuka_11dpi_Rep1	1987	Puccinia Striiformis f. sp. Tritici	Dobon et al., 2016	Dobon et al., 2016	Triticum aestivum	Vuka	Infected Leaf	Three Leaf	Yellow Rust	https://doi.org/10.1186/s12864-016-2684-4	Vuka	Infected Leaf	Three Leaf	Yellow Rust	UK	UK	Unknown	Unknown	raw_reads/87_66_Vuka_11dpi_Rep1/R1.fq.gz	raw_reads/87_66_Vuka_11dpi_Rep1/R2.fq.gz	Unknown
Dobon et al., 2016	87/66: Vuka: 11dpi	87_66_Vuka_11dpi_Rep2	1987	Puccinia Striiformis f. sp. Tritici	Dobon et al., 2016	Dobon et al., 2016	Triticum aestivum	Vuka	Infected Leaf	Three Leaf	Yellow Rust	https://doi.org/10.1186/s12864-016-2684-4	Vuka	Infected Leaf	Three Leaf	Yellow Rust	UK	UK	Unknown	Unknown	raw_reads/87_66_Vuka_11dpi_Rep2/R1.fq.gz	raw_reads/87_66_Vuka_11dpi_Rep2/R2.fq.gz	Unknown
Dobon et al., 2016	87/66: Vuka: 11dpi	87_66_Vuka_11dpi_Rep3	1987	Puccinia Striiformis f. sp. Tritici	Dobon et al., 2016	Dobon et al., 2016	Triticum aestivum	Vuka	Infected Leaf	Three Leaf	Yellow Rust	https://doi.org/10.1186/s12864-016-2684-4	Vuka	Infected Leaf	Three Leaf	Yellow Rust	UK	UK	Unknown	Unknown	raw_reads/87_66_Vuka_11dpi_Rep3/R1.fq.gz	raw_reads/87_66_Vuka_11dpi_Rep3/R2.fq.gz	Unknown
