secondary_study_accession	Sample IDs	run_accession	Date Isolated	scientific_name	experiment_title	study_title	Host Species	Host Variety	Tissue	Age	Stress-disease	Manuscript	High level variety	High level tissue	High level age	High level stress-disease	location	country	Infection Percentage	Fungicide Treatment	left	right	Collector
Hubbard et al., 2015	01/34	01_34	2001	Puccinia Striiformis f. sp. Tritici	Hubbard et al., 2015	Hubbard et al., 2015	Unknown	Unknown	Infected Leaf	Unknown	Yellow Rust	https://doi.org/10.1186/s13059-015-0590-8	Unknown	Infected Leaf	Unknown	Yellow Rust	UK	UK	Unknown	Unknown	raw_reads/01_34/R1.fq.gz	raw_reads/01_34/R2.fq.gz	Unknown
Hubbard et al., 2015	11/75	11_75	2011	Puccinia Striiformis f. sp. Tritici	Hubbard et al., 2015	Hubbard et al., 2015	Unknown	Unknown	Infected Leaf	Unknown	Yellow Rust	https://doi.org/10.1186/s13059-015-0590-8	Unknown	Infected Leaf	Unknown	Yellow Rust	UK	UK	Unknown	Unknown	raw_reads/11_75/R1.fq.gz	raw_reads/11_75/R2.fq.gz	Unknown
Hubbard et al., 2015	12/83	12_83	2012	Puccinia Striiformis f. sp. Tritici	Hubbard et al., 2015	Hubbard et al., 2015	Triticum aestivum	Vuka	Infected Leaf	Unknown	Yellow Rust	https://doi.org/10.1186/s13059-015-0590-8	Vuka	Infected Leaf	Unknown	Yellow Rust	UK	UK	Unknown	Unknown	raw_reads/12_83/R1.fq.gz	raw_reads/12_83/R2.fq.gz	UKCPVS
Hubbard et al., 2015	12/86	12_86	2012	Puccinia Striiformis f. sp. Tritici	Hubbard et al., 2015	Hubbard et al., 2015	Triticum aestivum	Vuka	Infected Leaf	Unknown	Yellow Rust	https://doi.org/10.1186/s13059-015-0590-8	Vuka	Infected Leaf	Unknown	Yellow Rust	UK	UK	Unknown	Unknown	raw_reads/12_86/R1.fq.gz	raw_reads/12_86/R2.fq.gz	UKCPVS
Hubbard et al., 2015	11/13	11_13	2011	Puccinia Striiformis f. sp. Tritici	Hubbard et al., 2015	Hubbard et al., 2015	Unknown	Unknown	Infected Leaf	Unknown	Yellow Rust	https://doi.org/10.1186/s13059-015-0590-8	Unknown	Infected Leaf	Unknown	Yellow Rust	UK	UK	Unknown	Unknown	raw_reads/11_13/R1.fq.gz	raw_reads/11_13/R2.fq.gz	Unknown
Hubbard et al., 2015	03/07	03_07	2003	Puccinia Striiformis f. sp. Tritici	Hubbard et al., 2015	Hubbard et al., 2015	Unknown	Unknown	Infected Leaf	Unknown	Yellow Rust	https://doi.org/10.1186/s13059-015-0590-8	Unknown	Infected Leaf	Unknown	Yellow Rust	UK	UK	Unknown	Unknown	raw_reads/03_07/R1.fq.gz	raw_reads/03_07/R2.fq.gz	Unknown
Hubbard et al., 2015	11/08	11_08	2011	Puccinia Striiformis f. sp. Tritici	Hubbard et al., 2015	Hubbard et al., 2015	Triticum aestivum	Warrior	Infected Leaf	Unknown	Yellow Rust	https://doi.org/10.1186/s13059-015-0590-8	Warrior	Infected Leaf	Unknown	Yellow Rust	Lincolnshire	UK	Unknown	Unknown	raw_reads/11_08/R1.fq.gz	raw_reads/11_08/R2.fq.gz	Unknown
Hubbard et al., 2015	13/09	13_09	2013/05/29	Puccinia Striiformis f. sp. Tritici	Hubbard et al., 2015	Hubbard et al., 2015	Triticum aestivum	Oakley	Infected Leaf	Unknown	Yellow Rust	https://doi.org/10.1186/s13059-015-0590-8	Oakley	Infected Leaf	Unknown	Yellow Rust	Caythorpe	UK	Unknown	Unknown	raw_reads/13_09/R1.fq.gz	raw_reads/13_09/R2.fq.gz	UKCPVS
Hubbard et al., 2015	13/12	13_12	2013/06/05	Puccinia Striiformis f. sp. Tritici	Hubbard et al., 2015	Hubbard et al., 2015	Triticum aestivum	Goldengun	Infected Leaf	Unknown	Yellow Rust	https://doi.org/10.1186/s13059-015-0590-8	Goldengun	Infected Leaf	Unknown	Yellow Rust	Caythorpe	UK	Unknown	Unknown	raw_reads/13_12/R1.fq.gz	raw_reads/13_12/R2.fq.gz	UKCPVS
Hubbard et al., 2015	08/501	08_501	2008	Puccinia Striiformis f. sp. Tritici	Hubbard et al., 2015	Hubbard et al., 2015	Triticum aestivum	Timber	Infected Leaf	Unknown	Yellow Rust	https://doi.org/10.1186/s13059-015-0590-8	Timber	Infected Leaf	Unknown	Yellow Rust	UK	UK	Unknown	Unknown	raw_reads/08_501/R1.fq.gz	raw_reads/08_501/R2.fq.gz	Unknown
