secondary_study_accession	Sample IDs	run_accession	Date Isolated	scientific_name	experiment_title	study_title	Host Species	Host Variety	Tissue	Age	Stress-disease	Manuscript	High level variety	High level tissue	High level age	High level stress-disease	location	country	Infection Percentage	Fungicide Treatment	left	right	Collector
Radhakrishnan et al., 2019	15.0078	15_0078	2015/05/07	Puccinia Striiformis f. sp. Tritici	Radhakrishnan et al., 2019	Radhakrishnan et al., 2019	Triticum aestivum	Primus	Infected Leaf	23	Yellow Rust	https://doi.org/10.1186/s12915-019-0684-y	Primus	Infected Leaf	23	Yellow Rust	Österlen	Sweden	3	Unknown	raw_reads/15_0078/R1.fq.gz	raw_reads/15_0078/R2.fq.gz	Tina Henriksson
Radhakrishnan et al., 2019	15.0188	15_0188	2015/06/04	Puccinia Striiformis f. sp. Tritici	Radhakrishnan et al., 2019	Radhakrishnan et al., 2019	Triticale	Orleac	Infected Leaf	Unknown	Yellow Rust	https://doi.org/10.1186/s12915-019-0684-y	Orleac (Triticale)	Infected Leaf	Unknown	Yellow Rust	Castanet	France	70	None	raw_reads/15_0188/R1.fq.gz	raw_reads/15_0188/R2.fq.gz	J P Legoff
Radhakrishnan et al., 2019	15.0189	15_0189	2015/06/04	Puccinia Striiformis f. sp. Tritici	Radhakrishnan et al., 2019	Radhakrishnan et al., 2019	Triticale	Ragtac	Infected Leaf	Unknown	Yellow Rust	https://doi.org/10.1186/s12915-019-0684-y	Ragtac (Triticale)	Infected Leaf	Unknown	Yellow Rust	Castanet	France	80	None	raw_reads/15_0189/R1.fq.gz	raw_reads/15_0189/R2.fq.gz	J P Legoff
Radhakrishnan et al., 2019	15.0190	15_0190	2015/06/04	Puccinia Striiformis f. sp. Tritici	Radhakrishnan et al., 2019	Radhakrishnan et al., 2019	Triticale	Tarzan	Infected Leaf	Unknown	Yellow Rust	https://doi.org/10.1186/s12915-019-0684-y	Tarzan (Triticale)	Infected Leaf	Unknown	Yellow Rust	Castanet	France	65	None	raw_reads/15_0190/R1.fq.gz	raw_reads/15_0190/R2.fq.gz	J P Legoff
Radhakrishnan et al., 2019	15.0191	15_0191	2015/06/04	Puccinia Striiformis f. sp. Tritici	Radhakrishnan et al., 2019	Radhakrishnan et al., 2019	Triticale	Fido	Infected Leaf	Unknown	Yellow Rust	https://doi.org/10.1186/s12915-019-0684-y	Fido (Triticale)	Infected Leaf	Unknown	Yellow Rust	Castanet	France	70	None	raw_reads/15_0191/R1.fq.gz	raw_reads/15_0191/R2.fq.gz	J P Legoff
Radhakrishnan et al., 2019	15.0305	15_0305	2015/04/22	Puccinia Striiformis f. sp. Tritici	Radhakrishnan et al., 2019	Radhakrishnan et al., 2019	Triticum aestivum	Tam 112	Infected Leaf	Unknown	Yellow Rust	https://doi.org/10.1186/s12915-019-0684-y	Tam 112	Infected Leaf	Unknown	Yellow Rust	Wichita, Kansas	USA	Unknown	Unknown	raw_reads/15_0305/R1.fq.gz	raw_reads/15_0305/R2.fq.gz	Marla Barnett
Radhakrishnan et al., 2019	15.0306	15_0306	2015/04/22	Puccinia Striiformis f. sp. Tritici	Radhakrishnan et al., 2019	Radhakrishnan et al., 2019	Triticum aestivum	Everest	Infected Leaf	Unknown	Yellow Rust	https://doi.org/10.1186/s12915-019-0684-y	Everest	Infected Leaf	Unknown	Yellow Rust	Wichita, Kansas	USA	Unknown	Unknown	raw_reads/15_0306/R1.fq.gz	raw_reads/15_0306/R2.fq.gz	Marla Barnett
Radhakrishnan et al., 2019	15.0308	15_0308	2015/04/30	Puccinia Striiformis f. sp. Tritici	Radhakrishnan et al., 2019	Radhakrishnan et al., 2019	Triticum aestivum	LCS 2141	Infected Leaf	< Feekes 10	Yellow Rust	https://doi.org/10.1186/s12915-019-0684-y	LCS 2141	Infected Leaf	< Feekes 10	Yellow Rust	Cash, Arkansas	USA	60	None	raw_reads/15_0308/R1.fq.gz	raw_reads/15_0308/R2.fq.gz	Maria Barnett
Radhakrishnan et al., 2019	15.0348	15_0348	2015/06/01	Puccinia Striiformis f. sp. Tritici	Radhakrishnan et al., 2019	Radhakrishnan et al., 2019	Triticum aestivum	Yellowstone	Infected Leaf	Unknown	Yellow Rust	https://doi.org/10.1186/s12915-019-0684-y	Yellowstone	Infected Leaf	Unknown	Yellow Rust	Bozeman, Montana	USA	30	Unknown	raw_reads/15_0348/R1.fq.gz	raw_reads/15_0348/R2.fq.gz	Xianming Chen
Radhakrishnan et al., 2019	15.0349	15_0349	2015/05/27	Puccinia Striiformis f. sp. Tritici	Radhakrishnan et al., 2019	Radhakrishnan et al., 2019	Triticum aestivum	ORCF 101R	Infected Leaf	Unknown	Yellow Rust	https://doi.org/10.1186/s12915-019-0684-y	ORCF 101R	Infected Leaf	Unknown	Yellow Rust	Corvallis, Oregon	USA	50	Unknown	raw_reads/15_0349/R1.fq.gz	raw_reads/15_0349/R2.fq.gz	Xianming Chen
Radhakrishnan et al., 2019	15.0350	15_0350	2015/06/03	Puccinia Striiformis f. sp. Tritici	Radhakrishnan et al., 2019	Radhakrishnan et al., 2019	Triticum aestivum	YS 221	Infected Leaf	Unknown	Yellow Rust	https://doi.org/10.1186/s12915-019-0684-y	YS 221	Infected Leaf	Unknown	Yellow Rust	Siskiyou, California	USA	50	Unknown	raw_reads/15_0350/R1.fq.gz	raw_reads/15_0350/R2.fq.gz	Xianming Chen
Radhakrishnan et al., 2019	15.0351	15_0351	2015/06/02	Puccinia Striiformis f. sp. Tritici	Radhakrishnan et al., 2019	Radhakrishnan et al., 2019	Triticum aestivum	Unknown	Infected Leaf	Unknown	Yellow Rust	https://doi.org/10.1186/s12915-019-0684-y	Unknown	Infected Leaf	Unknown	Yellow Rust	Montana	USA	10	Unknown	raw_reads/15_0351/R1.fq.gz	raw_reads/15_0351/R2.fq.gz	Xianming Chen
Radhakrishnan et al., 2019	15.0353	15_0353	2015/05/26	Puccinia Striiformis f. sp. Tritici	Radhakrishnan et al., 2019	Radhakrishnan et al., 2019	Triticum aestivum	Byrd	Infected Leaf	Unknown	Yellow Rust	https://doi.org/10.1186/s12915-019-0684-y	Byrd	Infected Leaf	Unknown	Yellow Rust	Cimarron, Oklahoma	USA	50	Unknown	raw_reads/15_0353/R1.fq.gz	raw_reads/15_0353/R2.fq.gz	Xianming Chen
Radhakrishnan et al., 2019	15.0354	15_0354	2015/06/11	Puccinia Striiformis f. sp. Tritici	Radhakrishnan et al., 2019	Radhakrishnan et al., 2019	Triticum aestivum	Unknown	Infected Leaf	Flowering	Yellow Rust	https://doi.org/10.1186/s12915-019-0684-y	Unknown	Infected Leaf	Flowering	Yellow Rust	Edicott, Washington	USA	10	Unknown	raw_reads/15_0354/R1.fq.gz	raw_reads/15_0354/R2.fq.gz	Xianming Chen
Radhakrishnan et al., 2019	15.0355	15_0355	2015/06/11	Puccinia Striiformis f. sp. Tritici	Radhakrishnan et al., 2019	Radhakrishnan et al., 2019	Triticum aestivum	Unknown	Infected Leaf	Flowering	Yellow Rust	https://doi.org/10.1186/s12915-019-0684-y	Unknown	Infected Leaf	Flowering	Yellow Rust	St John, Washington	USA	5	Unknown	raw_reads/15_0355/R1.fq.gz	raw_reads/15_0355/R2.fq.gz	Xianming Chen
Radhakrishnan et al., 2019	15.0356	15_0356	2015/06/10	Puccinia Striiformis f. sp. Tritici	Radhakrishnan et al., 2019	Radhakrishnan et al., 2019	Triticum aestivum	Unknown	Infected Leaf	Unknown	Yellow Rust	https://doi.org/10.1186/s12915-019-0684-y	Unknown	Infected Leaf	Unknown	Yellow Rust	Gregory, South Dakota	USA	70	Unknown	raw_reads/15_0356/R1.fq.gz	raw_reads/15_0356/R2.fq.gz	Xianming Chen
Radhakrishnan et al., 2019	15.0357	15_0357	2015/06/09	Puccinia Striiformis f. sp. Tritici	Radhakrishnan et al., 2019	Radhakrishnan et al., 2019	Triticum aestivum	Deloris	Infected Leaf	Heading/Flowering	Yellow Rust	https://doi.org/10.1186/s12915-019-0684-y	Deloris	Infected Leaf	Heading/Flowering	Yellow Rust	Ririe, Indiana	USA	5	Unknown	raw_reads/15_0357/R1.fq.gz	raw_reads/15_0357/R2.fq.gz	Xianming Chen
Radhakrishnan et al., 2019	15.0359	15_0359	2015/06/24	Puccinia Striiformis f. sp. Tritici	Radhakrishnan et al., 2019	Radhakrishnan et al., 2019	Triticum aestivum	Express	Infected Leaf	Soft Dough	Yellow Rust	https://doi.org/10.1186/s12915-019-0684-y	Express	Infected Leaf	Soft Dough	Yellow Rust	Walla Walla, Washington	USA	30	Unknown	raw_reads/15_0359/R1.fq.gz	raw_reads/15_0359/R2.fq.gz	Xianming Chen
Radhakrishnan et al., 2019	15.0360	15_0360	2015/06/29	Puccinia Striiformis f. sp. Tritici	Radhakrishnan et al., 2019	Radhakrishnan et al., 2019	Triticum aestivum	Unknown	Infected Leaf	Unknown	Yellow Rust	https://doi.org/10.1186/s12915-019-0684-y	Unknown	Infected Leaf	Unknown	Yellow Rust	Tripp, South Dakota	USA	60	Unknown	raw_reads/15_0360/R1.fq.gz	raw_reads/15_0360/R2.fq.gz	Xianming Chen
Radhakrishnan et al., 2019	15.0361	15_0361	2015/07/02	Puccinia Striiformis f. sp. Tritici	Radhakrishnan et al., 2019	Radhakrishnan et al., 2019	Triticum aestivum	Unknown	Infected Leaf	Unknown	Yellow Rust	https://doi.org/10.1186/s12915-019-0684-y	Unknown	Infected Leaf	Unknown	Yellow Rust	Hemingford, Nebraska	USA	50	Unknown	raw_reads/15_0361/R1.fq.gz	raw_reads/15_0361/R2.fq.gz	Xianming Chen
Radhakrishnan et al., 2019	15.0363	15_0363	2015/04/10	Puccinia Striiformis f. sp. Tritici	Radhakrishnan et al., 2019	Radhakrishnan et al., 2019	Triticum aestivum	PS 279	Infected Leaf	Tillering	Yellow Rust	https://doi.org/10.1186/s12915-019-0684-y	PS 279	Infected Leaf	Tillering	Yellow Rust	Mt Vernon, Washington	USA	10	Unknown	raw_reads/15_0363/R1.fq.gz	raw_reads/15_0363/R2.fq.gz	Xianming Chen
Radhakrishnan et al., 2019	15.0365	15_0365	2015/05/28	Puccinia Striiformis f. sp. Tritici	Radhakrishnan et al., 2019	Radhakrishnan et al., 2019	Triticum aestivum	Unknown	Infected Leaf	Flowering	Yellow Rust	https://doi.org/10.1186/s12915-019-0684-y	Unknown	Infected Leaf	Flowering	Yellow Rust	Hitchcock, Nebraska	USA	80	Unknown	raw_reads/15_0365/R1.fq.gz	raw_reads/15_0365/R2.fq.gz	Xianming Chen
Radhakrishnan et al., 2019	15.0366	15_0366	2015/03/09	Puccinia Striiformis f. sp. Tritici	Radhakrishnan et al., 2019	Radhakrishnan et al., 2019	Triticum aestivum	Sisson	Infected Leaf	Tillering	Yellow Rust	https://doi.org/10.1186/s12915-019-0684-y	Sisson	Infected Leaf	Tillering	Yellow Rust	Hidalgo, Texas	USA	60	Unknown	raw_reads/15_0366/R1.fq.gz	raw_reads/15_0366/R2.fq.gz	Xianming Chen
Radhakrishnan et al., 2019	15.0367	15_0367	2015/07/02	Puccinia Striiformis f. sp. Tritici	Radhakrishnan et al., 2019	Radhakrishnan et al., 2019	Triticum aestivum	Unknown	Infected Leaf	Unknown	Yellow Rust	https://doi.org/10.1186/s12915-019-0684-y	Unknown	Infected Leaf	Unknown	Yellow Rust	Brookings County, South Dakota	USA	20	Unknown	raw_reads/15_0367/R1.fq.gz	raw_reads/15_0367/R2.fq.gz	Xianming Chen
Radhakrishnan et al., 2019	15.0409	15_0409	2015/06/15	Puccinia Striiformis f. sp. Tritici	Radhakrishnan et al., 2019	Radhakrishnan et al., 2019	Triticum aestivum	KWS Magic	Infected Leaf	Unknown	Yellow Rust	https://doi.org/10.1186/s12915-019-0684-y	KWS Magic	Infected Leaf	Unknown	Yellow Rust	Jarosławiec	Poland	3	Unknown	raw_reads/15_0409/R1.fq.gz	raw_reads/15_0409/R2.fq.gz	Szymon Łączny
Radhakrishnan et al., 2019	15.0573	15_0573	2015/07	Puccinia Striiformis f. sp. Tritici	Radhakrishnan et al., 2019	Radhakrishnan et al., 2019	Triticum aestivum	Unknown	Infected Leaf	Unknown	Yellow Rust	https://doi.org/10.1186/s12915-019-0684-y	Unknown	Infected Leaf	Unknown	Yellow Rust	China	China	Unknown	Unknown	raw_reads/15_0573/R1.fq.gz	raw_reads/15_0573/R2.fq.gz	Suomeng Song
Radhakrishnan et al., 2019	15.0574	15_0574	2015/07	Puccinia Striiformis f. sp. Tritici	Radhakrishnan et al., 2019	Radhakrishnan et al., 2019	Triticum aestivum	Unknown	Infected Leaf	Unknown	Yellow Rust	https://doi.org/10.1186/s12915-019-0684-y	Unknown	Infected Leaf	Unknown	Yellow Rust	China	China	Unknown	Unknown	raw_reads/15_0574/R1.fq.gz	raw_reads/15_0574/R2.fq.gz	Suomeng Song
Radhakrishnan et al., 2019	15.0579	15_0579	2015/07	Puccinia Striiformis f. sp. Tritici	Radhakrishnan et al., 2019	Radhakrishnan et al., 2019	Triticum aestivum	Unknown	Infected Leaf	Unknown	Yellow Rust	https://doi.org/10.1186/s12915-019-0684-y	Unknown	Infected Leaf	Unknown	Yellow Rust	China	China	Unknown	Unknown	raw_reads/15_0579/R1.fq.gz	raw_reads/15_0579/R2.fq.gz	Suomeng Song
Radhakrishnan et al., 2019	15.0596	15_0596	2015/07/21	Puccinia Striiformis f. sp. Tritici	Radhakrishnan et al., 2019	Radhakrishnan et al., 2019	Triticum aestivum	GYT3-190 DN	Infected Leaf	Soft Dough	Yellow Rust	https://doi.org/10.1186/s12915-019-0684-y	GYT3-190 DN	Infected Leaf	Soft Dough	Yellow Rust	Lethbridge	Canada	85	None	raw_reads/15_0596/R1.fq.gz	raw_reads/15_0596/R2.fq.gz	Harpinder S. Randhawa
Radhakrishnan et al., 2019	15.0597	15_0597	2015/07/21	Puccinia Striiformis f. sp. Tritici	Radhakrishnan et al., 2019	Radhakrishnan et al., 2019	Triticum aestivum	Morocco	Infected Leaf	Soft Dough	Yellow Rust	https://doi.org/10.1186/s12915-019-0684-y	Morocco	Infected Leaf	Soft Dough	Yellow Rust	Lethbridge	Canada	100	None	raw_reads/15_0597/R1.fq.gz	raw_reads/15_0597/R2.fq.gz	Harpinder S. Randhawa
