secondary_study_accession	Sample IDs	run_accession	Date Isolated	scientific_name	experiment_title	study_title	Host Species	Host Variety	Tissue	Age	Stress-disease	Manuscript	High level variety	High level tissue	High level age	High level stress-disease	location	country	Infection Percentage	Fungicide Treatment	left	right	Collector
Schwessinger et al., 2018	Pst 104E137A-: Ungerminated Spores	SRR6043979	1979	Puccinia Striiformis f. sp. Tritici	Schwessinger et al., 2018	Schwessinger et al., 2018	None	N/A	Ungerminated Spores	N/A	Yellow Rust	https://doi.org/10.1128/mBio.02275-17	N/A	Ungerminated Spores	N/A	Yellow Rust	Australia	Australia	Unknown	Unknown	raw_reads/SRR6043979/R1.fq.gz	raw_reads/SRR6043979/R2.fq.gz	Unknown
Schwessinger et al., 2018	Pst 104E137A-: Ungerminated Spores	SRR6043978	1979	Puccinia Striiformis f. sp. Tritici	Schwessinger et al., 2018	Schwessinger et al., 2018	None	N/A	Ungerminated Spores	N/A	Yellow Rust	https://doi.org/10.1128/mBio.02275-17	N/A	Ungerminated Spores	N/A	Yellow Rust	Australia	Australia	Unknown	Unknown	raw_reads/SRR6043978/R1.fq.gz	raw_reads/SRR6043978/R2.fq.gz	Unknown
Schwessinger et al., 2018	Pst 104E137A-: Haustoria Enriched	SRR6043977	1979	Puccinia Striiformis f. sp. Tritici	Schwessinger et al., 2018	Schwessinger et al., 2018	Triticum aestivum	Morocco	Haustoria	N/A	Yellow Rust	https://doi.org/10.1128/mBio.02275-17	Morocco	Haustoria	N/A	Yellow Rust	Australia	Australia	Unknown	Unknown	raw_reads/SRR6043977/R1.fq.gz	raw_reads/SRR6043977/R2.fq.gz	Unknown
Schwessinger et al., 2018	Pst 104E137A-: Haustoria Enriched	SRR6043976	1979	Puccinia Striiformis f. sp. Tritici	Schwessinger et al., 2018	Schwessinger et al., 2018	Triticum aestivum	Morocco	Haustoria	N/A	Yellow Rust	https://doi.org/10.1128/mBio.02275-17	Morocco	Haustoria	N/A	Yellow Rust	Australia	Australia	Unknown	Unknown	raw_reads/SRR6043976/R1.fq.gz	raw_reads/SRR6043976/R2.fq.gz	Unknown
Schwessinger et al., 2018	Pst 104E137A-: Germinated Spores	SRR6043975	1979	Puccinia Striiformis f. sp. Tritici	Schwessinger et al., 2018	Schwessinger et al., 2018	None	N/A	Germinating Spores	N/A	Yellow Rust	https://doi.org/10.1128/mBio.02275-17	N/A	Germinating Spores	N/A	Yellow Rust	Australia	Australia	Unknown	Unknown	raw_reads/SRR6043975/R1.fq.gz	raw_reads/SRR6043975/R2.fq.gz	Unknown
Schwessinger et al., 2018	Pst 104E137A-: Haustoria Enriched	SRR6043974	1979	Puccinia Striiformis f. sp. Tritici	Schwessinger et al., 2018	Schwessinger et al., 2018	Triticum aestivum	Morocco	Haustoria	N/A	Yellow Rust	https://doi.org/10.1128/mBio.02275-17	Morocco	Haustoria	N/A	Yellow Rust	Australia	Australia	Unknown	Unknown	raw_reads/SRR6043974/R1.fq.gz	raw_reads/SRR6043974/R2.fq.gz	Unknown
Schwessinger et al., 2018	Pst 104E137A-: Germinated Spores	SRR6043973	1979	Puccinia Striiformis f. sp. Tritici	Schwessinger et al., 2018	Schwessinger et al., 2018	None	N/A	Germinating Spores	N/A	Yellow Rust	https://doi.org/10.1128/mBio.02275-17	N/A	Germinating Spores	N/A	Yellow Rust	Australia	Australia	Unknown	Unknown	raw_reads/SRR6043973/R1.fq.gz	raw_reads/SRR6043973/R2.fq.gz	Unknown
Schwessinger et al., 2018	Pst 104E137A-: Germinated Spores	SRR6043972	1979	Puccinia Striiformis f. sp. Tritici	Schwessinger et al., 2018	Schwessinger et al., 2018	None	N/A	Germinating Spores	N/A	Yellow Rust	https://doi.org/10.1128/mBio.02275-17	N/A	Germinating Spores	N/A	Yellow Rust	Australia	Australia	Unknown	Unknown	raw_reads/SRR6043972/R1.fq.gz	raw_reads/SRR6043972/R2.fq.gz	Unknown
Schwessinger et al., 2018	Pst 104E137A-: Ungerminated Spores	SRR6043971	1979	Puccinia Striiformis f. sp. Tritici	Schwessinger et al., 2018	Schwessinger et al., 2018	None	N/A	Ungerminated Spores	N/A	Yellow Rust	https://doi.org/10.1128/mBio.02275-17	N/A	Ungerminated Spores	N/A	Yellow Rust	Australia	Australia	Unknown	Unknown	raw_reads/SRR6043971/R1.fq.gz	raw_reads/SRR6043971/R2.fq.gz	Unknown
Schwessinger et al., 2018	Pst 104E137A-: 6dpi	SRR6043970	1979	Puccinia Striiformis f. sp. Tritici	Schwessinger et al., 2018	Schwessinger et al., 2018	Triticum aestivum	Morocco	Infected Leaf	Full Leaf	Yellow Rust	https://doi.org/10.1128/mBio.02275-17	Morocco	Infected Leaf	Full Leaf	Yellow Rust	Australia	Australia	Unknown	Unknown	raw_reads/SRR6043970/R1.fq.gz	raw_reads/SRR6043970/R2.fq.gz	Unknown
