secondary_study_accession	Sample IDs	run_accession	Date Isolated	scientific_name	experiment_title	study_title	Host Species	Host Variety	Tissue	Age	Stress-disease	Manuscript	High level variety	High level tissue	High level age	High level stress-disease	location	country	Infection Percentage	Fungicide Treatment	left	right	Collector
van Schalwyk et al., in press	14/K2	14_K2	2014	Puccinia Striiformis f. sp. Tritici	van Schalwyk et al., in press	van Schalwyk et al., in press	Triticum aestivum	Unknown	Infected Leaf	Unknown	Yellow Rust	Unpublished	Unknown	Infected Leaf	Unknown	Yellow Rust	Kenya	Kenya	Unknown	Unknown	raw_reads/14_K2/R1.fq.gz	raw_reads/14_K2/R2.fq.gz	Unknown
van Schalwyk et al., in press	14/K4	14_K4	2014	Puccinia Striiformis f. sp. Tritici	van Schalwyk et al., in press	van Schalwyk et al., in press	Triticum aestivum	Unknown	Infected Leaf	Unknown	Yellow Rust	Unpublished	Unknown	Infected Leaf	Unknown	Yellow Rust	Kenya	Kenya	Unknown	Unknown	raw_reads/14_K4/R1.fq.gz	raw_reads/14_K4/R2.fq.gz	Unknown
van Schalwyk et al., in press	14/K5	14_K5	2014	Puccinia Striiformis f. sp. Tritici	van Schalwyk et al., in press	van Schalwyk et al., in press	Triticum aestivum	Unknown	Infected Leaf	Unknown	Yellow Rust	Unpublished	Unknown	Infected Leaf	Unknown	Yellow Rust	Kenya	Kenya	Unknown	Unknown	raw_reads/14_K5/R1.fq.gz	raw_reads/14_K5/R2.fq.gz	Unknown
van Schalwyk et al., in press	14/K6	14_K6	2014	Puccinia Striiformis f. sp. Tritici	van Schalwyk et al., in press	van Schalwyk et al., in press	Triticum aestivum	Unknown	Infected Leaf	Unknown	Yellow Rust	Unpublished	Unknown	Infected Leaf	Unknown	Yellow Rust	Kenya	Kenya	Unknown	Unknown	raw_reads/14_K6/R1.fq.gz	raw_reads/14_K6/R2.fq.gz	Unknown
van Schalwyk et al., in press	14/K7	14_K7	2014	Puccinia Striiformis f. sp. Tritici	van Schalwyk et al., in press	van Schalwyk et al., in press	Triticum aestivum	Unknown	Infected Leaf	Unknown	Yellow Rust	Unpublished	Unknown	Infected Leaf	Unknown	Yellow Rust	Kenya	Kenya	Unknown	Unknown	raw_reads/14_K7/R1.fq.gz	raw_reads/14_K7/R2.fq.gz	Unknown
van Schalwyk et al., in press	14/K8	14_K8	2014	Puccinia Striiformis f. sp. Tritici	van Schalwyk et al., in press	van Schalwyk et al., in press	Triticum aestivum	Unknown	Infected Leaf	Unknown	Yellow Rust	Unpublished	Unknown	Infected Leaf	Unknown	Yellow Rust	Kenya	Kenya	Unknown	Unknown	raw_reads/14_K8/R1.fq.gz	raw_reads/14_K8/R2.fq.gz	Unknown
van Schalwyk et al., in press	14/K9	14_K9	2014	Puccinia Striiformis f. sp. Tritici	van Schalwyk et al., in press	van Schalwyk et al., in press	Triticum aestivum	Unknown	Infected Leaf	Unknown	Yellow Rust	Unpublished	Unknown	Infected Leaf	Unknown	Yellow Rust	Kenya	Kenya	Unknown	Unknown	raw_reads/14_K9/R1.fq.gz	raw_reads/14_K9/R2.fq.gz	Unknown
van Schalwyk et al., in press	14/K10	14_K10	2014	Puccinia Striiformis f. sp. Tritici	van Schalwyk et al., in press	van Schalwyk et al., in press	Triticum aestivum	Unknown	Infected Leaf	Unknown	Yellow Rust	Unpublished	Unknown	Infected Leaf	Unknown	Yellow Rust	Kenya	Kenya	Unknown	Unknown	raw_reads/14_K10/R1.fq.gz	raw_reads/14_K10/R2.fq.gz	Unknown
van Schalwyk et al., in press	14/K11	14_K11	2014	Puccinia Striiformis f. sp. Tritici	van Schalwyk et al., in press	van Schalwyk et al., in press	Triticum aestivum	Unknown	Infected Leaf	Unknown	Yellow Rust	Unpublished	Unknown	Infected Leaf	Unknown	Yellow Rust	Kenya	Kenya	Unknown	Unknown	raw_reads/14_K11/R1.fq.gz	raw_reads/14_K11/R2.fq.gz	Unknown
van Schalwyk et al., in press	14/K12	14_K12	2014	Puccinia Striiformis f. sp. Tritici	van Schalwyk et al., in press	van Schalwyk et al., in press	Triticum aestivum	Unknown	Infected Leaf	Unknown	Yellow Rust	Unpublished	Unknown	Infected Leaf	Unknown	Yellow Rust	Kenya	Kenya	Unknown	Unknown	raw_reads/14_K12/R1.fq.gz	raw_reads/14_K12/R2.fq.gz	Unknown
van Schalwyk et al., in press	14/K13	14_K13	2014	Puccinia Striiformis f. sp. Tritici	van Schalwyk et al., in press	van Schalwyk et al., in press	Triticum aestivum	Unknown	Infected Leaf	Unknown	Yellow Rust	Unpublished	Unknown	Infected Leaf	Unknown	Yellow Rust	Kenya	Kenya	Unknown	Unknown	raw_reads/14_K13/R1.fq.gz	raw_reads/14_K13/R2.fq.gz	Unknown
