secondary_study_accession	Sample IDs	run_accession	Date Isolated	scientific_name	experiment_title	study_title	Host Species	Host Variety	Tissue	Age	Stress-disease	Manuscript	High level variety	High level tissue	High level age	High level stress-disease	location	country	Infection Percentage	Fungicide Treatment	left	right	Collector
Adams et al., in press	16.0087	16_0087	2016/05/03	Puccinia Striiformis f. sp. Tritici	Adams et al., in press	Adams et al., in press	Triticum aestivum	Unknown	Infected Leaf	Unknown	Yellow Rust	Unpublished	Unknown	Infected Leaf	Unknown	Yellow Rust	Osijek	Croatia	Unknown	Unknown	raw_reads/16_0087/R1.fq.gz	raw_reads/16_0087/R2.fq.gz	Dario Novoselović
Adams et al., in press	16.0088	16_0088	2016/05/09	Puccinia Striiformis f. sp. Tritici	Adams et al., in press	Adams et al., in press	Triticum aestivum	Žitarka	Infected Leaf	Unknown	Yellow Rust	Unpublished	Žitarka	Infected Leaf	Unknown	Yellow Rust	Osijek	Croatia	Unknown	Unknown	raw_reads/16_0088/R1.fq.gz	raw_reads/16_0088/R2.fq.gz	Dario Novoselović
Adams et al., in press	16.0089	16_0089	2016/05/09	Puccinia Striiformis f. sp. Tritici	Adams et al., in press	Adams et al., in press	Triticum aestivum	Žitarka	Infected Leaf	Unknown	Yellow Rust	Unpublished	Žitarka	Infected Leaf	Unknown	Yellow Rust	Osijek	Croatia	Unknown	Unknown	raw_reads/16_0089/R1.fq.gz	raw_reads/16_0089/R2.fq.gz	Dario Novoselović
Adams et al., in press	16.0090	16_0090	2016/05/09	Puccinia Striiformis f. sp. Tritici	Adams et al., in press	Adams et al., in press	Triticum aestivum	Srpanjka	Infected Leaf	Unknown	Yellow Rust	Unpublished	Srpanjka	Infected Leaf	Unknown	Yellow Rust	Osijek	Croatia	Unknown	Unknown	raw_reads/16_0090/R1.fq.gz	raw_reads/16_0090/R2.fq.gz	Dario Novoselović
Adams et al., in press	16.0148	16_0148	2016/05/24	Puccinia Striiformis f. sp. Tritici	Adams et al., in press	Adams et al., in press	Triticum aestivum	Vuka	Infected Leaf	Unknown	Yellow Rust	Unpublished	Vuka	Infected Leaf	Unknown	Yellow Rust	Langley (Essex)	UK	Unknown	Unknown	raw_reads/16_0148/R1.fq.gz	raw_reads/16_0148/R2.fq.gz	Colin Patrick
Adams et al., in press	16.0149	16_0149	2016/05/24	Puccinia Striiformis f. sp. Tritici	Adams et al., in press	Adams et al., in press	Triticum aestivum	JB Diego	Infected Leaf	Unknown	Yellow Rust	Unpublished	JB Diego	Infected Leaf	Unknown	Yellow Rust	Langley (Essex)	UK	Unknown	Unknown	raw_reads/16_0149/R1.fq.gz	raw_reads/16_0149/R2.fq.gz	Colin Patrick
Adams et al., in press	16.0150	16_0150	2016/05/24	Puccinia Striiformis f. sp. Tritici	Adams et al., in press	Adams et al., in press	Triticum aestivum	Myriad	Infected Leaf	Unknown	Yellow Rust	Unpublished	Myriad	Infected Leaf	Unknown	Yellow Rust	Langley (Essex)	UK	Unknown	Unknown	raw_reads/16_0150/R1.fq.gz	raw_reads/16_0150/R2.fq.gz	Colin Patrick
Adams et al., in press	16.0151	16_0151	2016/05/24	Puccinia Striiformis f. sp. Tritici	Adams et al., in press	Adams et al., in press	Triticum aestivum	Vuka	Infected Leaf	Unknown	Yellow Rust	Unpublished	Vuka	Infected Leaf	Unknown	Yellow Rust	Throws	UK	Unknown	Unknown	raw_reads/16_0151/R1.fq.gz	raw_reads/16_0151/R2.fq.gz	Colin Patrick
Adams et al., in press	16.0152	16_0152	2016/05/24	Puccinia Striiformis f. sp. Tritici	Adams et al., in press	Adams et al., in press	Triticum aestivum	XI19	Infected Leaf	Unknown	Yellow Rust	Unpublished	XI19	Infected Leaf	Unknown	Yellow Rust	Throws	UK	Unknown	Unknown	raw_reads/16_0152/R1.fq.gz	raw_reads/16_0152/R2.fq.gz	Colin Patrick
Adams et al., in press	16.0153	16_0153	2016/05/24	Puccinia Striiformis f. sp. Tritici	Adams et al., in press	Adams et al., in press	Triticum aestivum	Zulu	Infected Leaf	Unknown	Yellow Rust	Unpublished	Zulu	Infected Leaf	Unknown	Yellow Rust	Throws	UK	Unknown	Unknown	raw_reads/16_0153/R1.fq.gz	raw_reads/16_0153/R2.fq.gz	Colin Patrick
Adams et al., in press	16.0154	16_0154	2016/05/24	Puccinia Striiformis f. sp. Tritici	Adams et al., in press	Adams et al., in press	Triticum aestivum	Leeds	Infected Leaf	Unknown	Yellow Rust	Unpublished	Leeds	Infected Leaf	Unknown	Yellow Rust	Throws	UK	Unknown	Unknown	raw_reads/16_0154/R1.fq.gz	raw_reads/16_0154/R2.fq.gz	Colin Patrick
Adams et al., in press	16.0155	16_0155	2016/05/24	Puccinia Striiformis f. sp. Tritici	Adams et al., in press	Adams et al., in press	Triticum aestivum	JB Diego	Infected Leaf	Unknown	Yellow Rust	Unpublished	JB Diego	Infected Leaf	Unknown	Yellow Rust	Throws	UK	Unknown	Unknown	raw_reads/16_0155/R1.fq.gz	raw_reads/16_0155/R2.fq.gz	Colin Patrick
Adams et al., in press	16.0156	16_0156	2016/05/24	Puccinia Striiformis f. sp. Tritici	Adams et al., in press	Adams et al., in press	Triticum aestivum	Belgrade	Infected Leaf	Unknown	Yellow Rust	Unpublished	Belgrade	Infected Leaf	Unknown	Yellow Rust	Throws	UK	Unknown	Unknown	raw_reads/16_0156/R1.fq.gz	raw_reads/16_0156/R2.fq.gz	Colin Patrick
Adams et al., in press	16.0157	16_0157	2016/05/24	Puccinia Striiformis f. sp. Tritici	Adams et al., in press	Adams et al., in press	Triticum aestivum	Graham	Infected Leaf	Unknown	Yellow Rust	Unpublished	Graham	Infected Leaf	Unknown	Yellow Rust	Throws	UK	Unknown	Unknown	raw_reads/16_0157/R1.fq.gz	raw_reads/16_0157/R2.fq.gz	Colin Patrick
Adams et al., in press	16.0158	16_0158	2016/05/24	Puccinia Striiformis f. sp. Tritici	Adams et al., in press	Adams et al., in press	Triticum aestivum	Vuka	Infected Leaf	Unknown	Yellow Rust	Unpublished	Vuka	Infected Leaf	Unknown	Yellow Rust	Lenham	UK	Unknown	Unknown	raw_reads/16_0158/R1.fq.gz	raw_reads/16_0158/R2.fq.gz	Colin Patrick
Adams et al., in press	16.0159	16_0159	2016/05/24	Puccinia Striiformis f. sp. Tritici	Adams et al., in press	Adams et al., in press	Triticum aestivum	Myriad	Infected Leaf	Unknown	Yellow Rust	Unpublished	Myriad	Infected Leaf	Unknown	Yellow Rust	Lenham	UK	Unknown	Unknown	raw_reads/16_0159/R1.fq.gz	raw_reads/16_0159/R2.fq.gz	Colin Patrick
Adams et al., in press	16.0160	16_0160	2016/05/24	Puccinia Striiformis f. sp. Tritici	Adams et al., in press	Adams et al., in press	Triticum aestivum	Dickens	Infected Leaf	Unknown	Yellow Rust	Unpublished	Dickens	Infected Leaf	Unknown	Yellow Rust	Glastonbury	UK	Unknown	Unknown	raw_reads/16_0160/R1.fq.gz	raw_reads/16_0160/R2.fq.gz	Colin Patrick
