File,Sample,actin,tuba,tubb,efact,pst130_p495001
merged_Cook_exp_PST_104E_count_0.tsv,01_01,122.0,397.0,43.75,482.0,43.4286
merged_Cook_exp_PST_104E_count_0.tsv,09_01,408.5,2616.0,139.00005,1094.0,401.0
merged_Cook_exp_PST_104E_count_0.tsv,14_01,63.5,256.5,18.0,122.0,195.0
merged_Cook_exp_PST_104E_count_0.tsv,11_02,208.5,392.0,66.5,465.5,274.0
merged_Cook_exp_PST_104E_count_0.tsv,12_06,422.5,2152.5,194.5,981.5,662.0
merged_Cook_exp_PST_104E_count_0.tsv,12_07,284.0,184.5,66.0,431.0,24.6
merged_Cook_exp_PST_104E_count_0.tsv,12_09,490.0,2678.0,159.250025,1135.5,2.0
merged_Cook_exp_PST_104E_count_0.tsv,12_11,316.5,1440.0,137.500075,589.0,809.0
merged_Ozketen_exp_PST_104E_count_0.tsv,SRR9185093,10.5,1.0,1.0,0.0,0.0
merged_Ozketen_exp_PST_104E_count_0.tsv,SRR9185094,1152.5,745.0,407.5,31.0,83.0
merged_van_Schalwyk_exp_PST_104E_count_0.tsv,14_K2,10625.0,4531.5,2786.7765,552.5,720.0
merged_van_Schalwyk_exp_PST_104E_count_0.tsv,14_K4,351.0,2163.0,148.25,817.167,628.0
merged_van_Schalwyk_exp_PST_104E_count_0.tsv,14_K5,1688.5,2737.5,319.0,727.0,1351.0
merged_van_Schalwyk_exp_PST_104E_count_0.tsv,14_K6,131.0,1007.0,60.75,345.951,384.0
merged_van_Schalwyk_exp_PST_104E_count_0.tsv,14_K7,301.0,1749.0,86.25005,516.5,501.0
merged_van_Schalwyk_exp_PST_104E_count_0.tsv,14_K8,154.0,760.5,45.499975,348.0,382.0
merged_van_Schalwyk_exp_PST_104E_count_0.tsv,14_K9,210.0,1064.0,86.0001,716.0,593.0
merged_van_Schalwyk_exp_PST_104E_count_0.tsv,14_K10,253.5,260.5,58.75005,367.5,71.0
merged_van_Schalwyk_exp_PST_104E_count_0.tsv,14_K11,537.0,1440.0,159.42700000000002,538.5,948.351
