,gene_name,snps_per_base,alignment_length,alignment_score
0,PST130_06979,0.05489543726235741,4208,472
1,PST130_11425,0.008309005165057264,4453,76
2,PST130_03747,0.038610920721955676,4377,357
3,PST130_12716,0.6324072275111715,5147,6812
4,PST130_09888,0.438023898698056,5607,8027
5,PST130_05254,0.06940441882804996,4164,601
6,PST130_06359,0.47583108715184186,5565,5722
7,PST130_09042,0.398488120950324,5556,6613
8,PST130_16413,0.17972158736754623,4813,2020
9,PST130_13580,0.15683675723437154,4527,1491
10,PST130_10894,0.8739266730271228,7337,0
11,PST130_17686,0.299358248395621,5298,3876
12,PST130_05293,0.046473224817173864,4239,395
13,PST130_07531,0.04692274116106504,4582,437
14,PST130_11151,0.04736475504991874,4307,435
15,PST130_03233,0.6686156763590392,6328,9075
16,PST130_12317,0.14837712519319937,4529,1344
17,PST130_05455,0.12972865914042384,5049,2628
18,PST130_07450,0.5887592137592138,6512,8257
19,PST130_11795,0.2315747875913851,5061,2401
20,PST130_09618,0.3097713097713098,5291,6634
21,PST130_03527,0.019490254872563718,4669,184
22,PST130_16116,0.8105494505494506,6825,13022
23,PST130_14927,0.20140903439701616,4826,1944
24,PST130_02360,0.12230046948356807,4260,1174
25,PST130_00617,0.8034398034398035,6512,15466
26,PST130_14448,0.00390625,4864,38
27,PST130_01131,0.0026607538802660754,4510,24
28,PST130_01871,0.30081154192966636,5545,4610
29,PST130_03928,0.20142669419936174,5327,2375
30,PST130_17140,0.2788358656109566,4673,2618
31,PST130_02763,0.24542739828294138,5358,2639
32,PST130_02039,0.2719894713753016,4559,2538
33,PST130_15948,0.19636824324324326,4736,1884
34,PST130_04266,0.05961538461538462,4160,502
35,PST130_01492,0.13515789473684212,4750,1321
36,PST130_02990,0.700642472651502,5759,8567
37,PST130_03046,0.18026228050677928,4499,2050
38,PST130_13725,0.3833833833833834,4995,4112
39,PST130_03047,0.6614319486659912,5922,11581
40,PST130_03899,0.2684149633629001,5186,2885
41,PST130_02816,0.0110803324099723,4693,111
42,PST130_11467,0.3249360362133438,5081,3690
43,PST130_00387,0.11841855160615852,5261,1249
44,PST130_10194,0.44437640334762196,4899,4374
45,PST130_14131,0.26784358390280943,5268,3043
46,PST_425,0.008309005165057264,4453,76
47,PST130_07986,0.6555836646187206,5534,8003
48,PST130_16082,0.0409150901891773,4546,373
49,PST130_06281,0.0374085684430512,4785,364
50,PST130_05944,0.6150504266873545,6445,9309
51,PST130_16051,0.11069853794383848,4309,957
52,PST130_14646,0.033370660694288914,4465,3040
53,PST130_14487,0.014036676477247,4417,125
54,PST130_07969,0.0778725314183124,4456,695
55,PST130_00960,0.03625954198473282,4716,346
56,PST130_13712,0.1455486542443064,4830,1412
57,PST130_13458,0.4755257770333147,5373,5546
58,PST130_05951,0.2914798206278027,4906,3013
59,PST130_06725,0.06290622098421542,4308,556
60,PST130_11311,0.5154250082047916,6094,8156
61,PST130_16898,0.7373663395342024,6827,11323
62,PST130_16866,0.2191832858499525,5265,3183
63,PST130_00221,0.41241642788920724,5235,4538
64,PST130_00433,0.15961582437685798,4373,1411
65,PST130_16721,0.16930126002290952,4365,2438
66,PST130_05946,0.32545705415660575,5798,4982
67,PST130_10900,0.005351170568561873,4485,48
68,PST130_00285,0.41070760014975666,5342,4618
69,PST130_14596,0.5057107713934282,5691,9449
70,PST130_16418,0.04974765681326604,4161,424
71,PST130_07070,0.013566337088985974,4349,122
72,PST130_14018,0.22169093675287982,4601,2171
73,PST130_01950,0.17611423626135872,4622,1677
74,PST130_05049,0.028761587829807464,4207,248
75,PST130_17739,0.004959422903516681,4436,45
76,PST130_12654,0.0901943655820048,4579,855
77,PST130_03995,0.003865393360618463,4398,34
78,PST130_11361,0.09286971830985916,4544,885
79,PST130_16778,0.32160194174757284,4944,3274
80,PST130_12532,0.6893706830391404,5212,7968
81,PST130_07922,0.062261182288154644,4449,1112
82,PST130_05884,0.7397488273566349,6609,11237
83,PST130_02133,0.07505330490405117,4690,745
84,PST130_00724,0.49708404802744427,5830,7145
85,PST130_12452,0.025954525954525954,4662,271
86,PST130_12902,0.46808905380333954,5390,5054
87,PST130_02911,0.7004043467273187,7914,14688
88,PST130_13969,0.07280772325020113,4972,726
89,PST130_12487,0.39244872027591216,5509,4815
90,PST130_04811,0.2218700475435816,5048,2242
