,contig,position,BE_166,DK_229,DK_267,BE_166_average,DK_229_average,DK_267_average
34684092,NC_063032.1,2673372,31,21,83,30.0,21.2,85.0
34684093,NC_063032.1,2673373,29,22,85,30.0,21.0,85.33333333333333
34684094,NC_063032.1,2673374,28,22,83,30.0,20.857142857142858,85.0
34684095,NC_063032.1,2673375,31,21,86,29.875,20.5,83.75
34684096,NC_063032.1,2673376,31,20,88,30.0,20.444444444444443,84.11111111111111
34684097,NC_063032.1,2673377,30,20,87,30.1,20.3,84.5
34684098,NC_063032.1,2673378,30,20,83,30.1,20.0,85.0
34684099,NC_063032.1,2673379,29,18,75,30.4,19.6,85.3
34684100,NC_063032.1,2673380,31,20,87,30.7,19.2,85.7
34684101,NC_063032.1,2673381,31,19,88,30.8,19.0,85.9
34684102,NC_063032.1,2673382,31,18,88,30.9,18.8,85.9
34684103,NC_063032.1,2673383,32,18,88,31.1,18.6,85.8
34684104,NC_063032.1,2673384,31,18,87,31.3,18.4,86.0
34684105,NC_063032.1,2673385,32,19,88,31.6,18.4,87.1
34684106,NC_063032.1,2673386,32,18,88,31.7,18.2,87.0
34684107,NC_063032.1,2673387,32,18,86,31.8,18.1,87.2
34684108,NC_063032.1,2673388,32,18,85,31.9,18.1,87.4
34684109,NC_063032.1,2673389,32,18,86,31.9,18.0,87.4
34684110,NC_063032.1,2673390,32,18,86,32.0,17.9,87.6
34684111,NC_063032.1,2673391,32,18,90,32.0,17.6,87.7
34684112,NC_063032.1,2673392,32,18,90,32.0,17.4,87.7
34684113,NC_063032.1,2673393,32,17,88,31.8,17.2,87.7
34684114,NC_063032.1,2673394,32,17,89,31.6,17.0,87.8
34684115,NC_063032.1,2673395,32,16,89,31.4,16.8,87.5
34684116,NC_063032.1,2673396,32,16,88,31.2,16.6,87.1
34684117,NC_063032.1,2673397,30,16,86,30.9,16.4,86.7
34684118,NC_063032.1,2673398,30,16,86,30.5,16.2,86.3
34684119,NC_063032.1,2673399,30,16,83,30.2,16.1,85.7
34684120,NC_063032.1,2673400,30,16,82,30.0,16.0,85.5
34684121,NC_063032.1,2673401,29,16,86,29.8,16.0,85.3
34684122,NC_063032.1,2673402,28,16,86,29.5,16.0,84.4
34684123,NC_063032.1,2673403,29,16,82,29.4,15.9,84.1
34684124,NC_063032.1,2673404,30,16,87,29.4,16.0,83.8
34684125,NC_063032.1,2673405,30,16,87,29.4,16.2,84.0
34684126,NC_063032.1,2673406,29,16,79,29.4,16.4,84.4
34684127,NC_063032.1,2673407,29,15,83,29.4,16.6,84.4
34684128,NC_063032.1,2673408,30,17,83,29.4,16.8,84.3
34684129,NC_063032.1,2673409,30,18,85,29.4,17.0,84.6
34684130,NC_063032.1,2673410,30,18,86,29.3,17.2,84.5
34684131,NC_063032.1,2673411,29,18,86,29.2,17.4,84.5
34684132,NC_063032.1,2673412,28,18,85,29.2,17.6,85.4
34684133,NC_063032.1,2673413,29,18,85,29.2,17.9,85.8
34684134,NC_063032.1,2673414,29,18,86,29.1,18.0,86.2
34684135,NC_063032.1,2673415,29,18,87,29.0,18.0,86.4
34684136,NC_063032.1,2673416,29,18,88,28.9,18.0,86.5
34684137,NC_063032.1,2673417,29,18,87,28.9,18.0,86.7
34684138,NC_063032.1,2673418,29,18,87,29.0,18.0,87.0
34684139,NC_063032.1,2673419,29,18,87,29.0,17.9,87.3
34684140,NC_063032.1,2673420,29,18,87,29.0,17.8,87.5
34684141,NC_063032.1,2673421,29,18,88,29.0,17.7,87.6
34684142,NC_063032.1,2673422,29,18,88,28.9,17.6,87.5
34684143,NC_063032.1,2673423,29,17,88,28.8,17.5,87.2
34684144,NC_063032.1,2673424,29,17,88,28.7,17.4,86.8
34684145,NC_063032.1,2673425,29,17,88,28.6,17.3,86.6
34684146,NC_063032.1,2673426,28,17,87,28.5,17.1,86.5
34684147,NC_063032.1,2673427,28,17,84,28.3,17.0,86.2
34684148,NC_063032.1,2673428,28,17,83,28.2,16.9,86.2
34684149,NC_063032.1,2673429,28,17,85,28.1,16.9,86.2
34684150,NC_063032.1,2673430,28,16,86,28.0,16.9,86.0
34684151,NC_063032.1,2673431,27,17,85,27.9,17.0,85.9
34684152,NC_063032.1,2673432,28,17,88,27.9,17.1,85.8
34684153,NC_063032.1,2673433,28,17,88,28.0,17.2,86.2
34684154,NC_063032.1,2673434,28,17,86,28.1,17.3,86.7
34684155,NC_063032.1,2673435,28,18,87,28.3,17.4,87.0
34684156,NC_063032.1,2673436,28,18,86,28.5,17.6,87.1
34684157,NC_063032.1,2673437,29,18,88,28.8,17.7,87.0
34684158,NC_063032.1,2673438,29,18,88,28.8,17.7,86.8
34684159,NC_063032.1,2673439,30,18,88,28.7,17.7,86.2
34684160,NC_063032.1,2673440,30,18,87,28.6,17.7,85.9
34684161,NC_063032.1,2673441,30,18,84,28.4,17.7,85.8
34684162,NC_063032.1,2673442,28,17,86,28.4,17.7,85.9
34684163,NC_063032.1,2673443,27,17,82,28.3,17.8,85.5
34684164,NC_063032.1,2673444,27,17,83,28.2,17.9,85.2
34684165,NC_063032.1,2673445,26,18,86,27.9,18.0,84.4
34684166,NC_063032.1,2673446,28,18,87,27.8,18.2,84.2
34684167,NC_063032.1,2673447,28,19,84,27.7,18.4,84.3
34684168,NC_063032.1,2673448,28,19,85,27.9,18.8,83.9
34684169,NC_063032.1,2673449,27,19,80,28.3,19.2,84.4
34684170,NC_063032.1,2673450,29,20,85,28.7,19.6,84.8
34684171,NC_063032.1,2673451,29,20,85,29.2,20.0,85.1
34684172,NC_063032.1,2673452,30,21,82,29.5,20.4,85.3
34684173,NC_063032.1,2673453,31,21,87,29.8,20.7,85.9
34684174,NC_063032.1,2673454,31,21,87,30.1,21.0,86.5
34684175,NC_063032.1,2673455,31,22,89,30.5,21.3,87.5
34684176,NC_063032.1,2673456,31,22,89,30.4,21.4,86.7
34684177,NC_063032.1,2673457,31,22,90,30.6,21.6,87.0
34684178,NC_063032.1,2673458,31,22,91,30.7,21.7,87.8
34684179,NC_063032.1,2673459,31,22,90,30.6,21.8,88.0
34684180,NC_063032.1,2673460,28,21,77,30.4,21.9,87.8
34684181,NC_063032.1,2673461,31,22,88,30.1,21.9,87.0
34684182,NC_063032.1,2673462,31,22,90,30.1,21.9,86.8
34684183,NC_063032.1,2673463,30,22,89,30.0,21.9,85.9
34684184,NC_063032.1,2673464,29,22,85,30.0,21.8,85.3
34684185,NC_063032.1,2673465,28,22,81,30.0,21.7,84.9
34684186,NC_063032.1,2673466,31,22,87,29.7,21.7,84.4
34684187,NC_063032.1,2673467,30,22,81,29.6,21.6,83.9
34684188,NC_063032.1,2673468,31,21,85,29.5,21.6,83.5
34684189,NC_063032.1,2673469,31,21,86,29.6,21.6,83.2
34684190,NC_063032.1,2673470,25,21,72,29.9,21.6,82.9
34684191,NC_063032.1,2673471,30,21,83,29.6,21.1,79.6
34684192,NC_063032.1,2673472,30,22,86,29.6,21.0,78.9
34684193,NC_063032.1,2673473,31,22,86,29.8,21.0,79.5
34684194,NC_063032.1,2673474,32,22,82,29.9,21.1,79.7
34684195,NC_063032.1,2673475,25,17,48,30.0,21.3,79.8
34684196,NC_063032.1,2673476,31,21,80,30.7,21.5,81.3
34684197,NC_063032.1,2673477,32,22,87,30.9,21.7,81.9
34684198,NC_063032.1,2673478,32,22,87,31.1,21.8,82.2
34684199,NC_063032.1,2673479,32,23,87,31.2,21.9,82.5
34684200,NC_063032.1,2673480,32,23,87,30.7,21.8,80.7
34684201,NC_063032.1,2673481,32,23,89,31.2,22.4,84.2
34684202,NC_063032.1,2673482,32,23,89,31.2,22.6,84.9
34684203,NC_063032.1,2673483,32,23,89,31.2,22.7,85.0
34684204,NC_063032.1,2673484,27,21,64,31.1,22.8,85.2
34684205,NC_063032.1,2673485,30,23,83,31.0,22.8,85.4
34684206,NC_063032.1,2673486,31,23,87,30.8,22.8,85.6
34684207,NC_063032.1,2673487,32,23,88,30.6,22.8,85.6
34684208,NC_063032.1,2673488,31,23,89,30.4,22.8,85.6
34684209,NC_063032.1,2673489,31,23,89,30.3,22.9,85.6
34684210,NC_063032.1,2673490,30,23,89,30.7,23.2,88.1
34684211,NC_063032.1,2673491,30,23,89,30.8,23.3,88.5
34684212,NC_063032.1,2673492,30,23,89,30.8,23.4,88.6
34684213,NC_063032.1,2673493,31,24,89,30.7,23.5,88.7
34684214,NC_063032.1,2673494,31,24,89,30.7,23.6,88.6
