target_id	length	eff_length	est_counts	tpm
JGI_V11_PST130_P500928	5346	5149.7	234	3.90939
JGI_V11_PST130_P503541	219	59.6188	87	125.548
JGI_V11_PST130_P498510	1161	964.696	0	0
JGI_V11_PST130_P503165	1641	1444.7	249	14.8285
JGI_V11_PST130_P496996	447	253.743	0	0
JGI_V11_PST130_P502966	2937	2740.7	21	0.659225
JGI_V11_PST130_P498074	2010	1813.7	250	11.8591
JGI_V11_PST130_P501125	3144	2947.7	107	3.12303
JGI_V11_PST130_P503365	279	101.491	0	0
JGI_V11_PST130_P488246	2262	2065.7	0	0
JGI_V11_PST130_P489680	447	253.743	697	236.328
JGI_V11_PST130_P491731	702	505.848	9	1.53073
JGI_V11_PST130_P489797	1905	1708.7	190	9.56674
JGI_V11_PST130_P488272	1746	1549.7	520	28.869
JGI_V11_PST130_P490013	300	118.344	260	189.018
JGI_V11_PST130_P491856	342	154.82	0	0
JGI_V11_PST130_P492558	207	52.5748	0	0
JGI_V11_PST130_P502991	510	315.44	17	4.63668
JGI_V11_PST130_P492967	462	268.332	0	0
JGI_V11_PST130_P488313	279	101.491	72	61.0352
JGI_V11_PST130_P491144	432	239.281	0	0
JGI_V11_PST130_P500947	804	607.736	13	1.84036
JGI_V11_PST130_P493370	399	207.728	385	159.456
JGI_V11_PST130_P499615	1506	1309.7	46	3.02178
JGI_V11_PST130_P503304	537	341.981	164	41.2589
JGI_V11_PST130_P494788	231	67.1484	0	0
JGI_V11_PST130_P504103	906	709.696	56	6.78877
JGI_V11_PST130_P495319	2436	2239.7	167	6.41509
JGI_V11_PST130_P497124	294	113.405	0	0
JGI_V11_PST130_P491965	375	185.159	0	0
JGI_V11_PST130_P488308	666	469.994	2098	384.051
JGI_V11_PST130_P491674	2043	1846.7	53	2.4692
JGI_V11_PST130_P494706	576	380.569	0	0
JGI_V11_PST130_P488584	480	285.898	112.521	33.8608
JGI_V11_PST130_P493395	1491	1294.7	45	2.99034
JGI_V11_PST130_P490089	1782	1585.7	410	22.2453
JGI_V11_PST130_P500912	1266	1069.7	10	0.804294
JGI_V11_PST130_P502633	1185	988.696	151	13.1398
JGI_V11_PST130_P500952	318	133.677	2	1.28721
JGI_V11_PST130_P488977	648	452.082	18	3.42555
JGI_V11_PST130_P488868	2169	1972.7	131	5.71329
JGI_V11_PST130_P488493	210	54.2632	0	0
JGI_V11_PST130_P487031	843	646.716	1	0.133034
JGI_V11_PST130_P496079	1158	961.696	324	28.9856
JGI_V11_PST130_P491196	333	146.813	0	0
JGI_V11_PST130_P497923	675	478.989	6	1.07771
JGI_V11_PST130_P488821	633	437.13	0	0
JGI_V11_PST130_P489426	870	673.696	176	22.4763
JGI_V11_PST130_P496630	747	550.786	5	0.78102
JGI_V11_PST130_P491775	861	664.696	140	18.1209
JGI_V11_PST130_P501425	2817	2620.7	56	1.83843
JGI_V11_PST130_P490238	474	280.04	0	0
JGI_V11_PST130_P490063	393	202.075	137	58.3288
JGI_V11_PST130_P503040	1023	826.696	183	19.045
JGI_V11_PST130_P493931	288	108.579	0	0
JGI_V11_PST130_P501267	279	101.491	190	161.065
JGI_V11_PST130_P498821	1794	1597.7	0	0
JGI_V11_PST130_P490212	504	309.54	0	0
JGI_V11_PST130_P489902	1302	1105.7	0	0
JGI_V11_PST130_P496900	741	544.809	0	0
JGI_V11_PST130_P494460	1602	1405.7	0	0
JGI_V11_PST130_P487409	459	265.392	0	0
JGI_V11_PST130_P498777	384	193.576	1	0.44445
JGI_V11_PST130_P502392	1503	1306.7	2	0.131683
JGI_V11_PST130_P497532	306	123.35	0	0
JGI_V11_PST130_P487727	654	458.053	138	25.9202
JGI_V11_PST130_P488299	1011	814.696	0	0
JGI_V11_PST130_P491334	240	73.1588	0	0
JGI_V11_PST130_P497313	642	446.115	119	22.9496
JGI_V11_PST130_P489001	1788	1591.7	0	0
JGI_V11_PST130_P504390	1446	1249.7	0	0
JGI_V11_PST130_P500016	1002	805.696	68	7.26128
JGI_V11_PST130_P493008	1122	925.696	255	23.6999
JGI_V11_PST130_P494101	1206	1009.7	910	77.5401
JGI_V11_PST130_P501742	1038	841.696	81	8.27952
JGI_V11_PST130_P496689	801	604.736	388	55.2002
JGI_V11_PST130_P502088	1269	1072.7	295	23.6603
JGI_V11_PST130_P492731	681	484.943	701	124.366
JGI_V11_PST130_P501567	762	565.78	3526	536.179
JGI_V11_PST130_P504570	1290	1093.7	291	22.8914
JGI_V11_PST130_P487885	1113	916.696	86	8.07139
JGI_V11_PST130_P494206	534	339.01	1	0.253783
JGI_V11_PST130_P501964	639	443.125	17964	3487.8
JGI_V11_PST130_P486792	2010	1813.7	0	0
JGI_V11_PST130_P489455	480	285.898	7	2.1065
JGI_V11_PST130_P494973	1035	838.696	0	0
JGI_V11_PST130_P493976	936	739.696	0	0
JGI_V11_PST130_P502017	276	99.1462	2	1.73552
JGI_V11_PST130_P500300	1596	1399.7	463	28.4592
JGI_V11_PST130_P494435	477	282.977	0	0
JGI_V11_PST130_P491202	369	179.588	18.7026	8.95985
JGI_V11_PST130_P500412	1203	1006.7	85	7.26434
JGI_V11_PST130_P497467	420	227.76	13	4.91068
JGI_V11_PST130_P503043	831	634.723	0	0
JGI_V11_PST130_P492782	849	652.696	9	1.18633
JGI_V11_PST130_P498610	1911	1714.7	137	6.87399
JGI_V11_PST130_P493455	2637	2440.7	0	0
JGI_V11_PST130_P487534	699	502.864	14	2.39526
JGI_V11_PST130_P498631	264	90.0121	9	8.60235
JGI_V11_PST130_P490339	294	113.405	0	0
JGI_V11_PST130_P496873	840	643.716	4	0.534614
JGI_V11_PST130_P487910	354	165.782	0	0
JGI_V11_PST130_P487503	1722	1525.7	336	18.9473
JGI_V11_PST130_P494070	201	49.2691	22	38.417
JGI_V11_PST130_P493585	1413	1216.7	23121	1634.93
