target_id	length	eff_length	est_counts	tpm
JGI_V11_PST130_P500928	5346	5167.32	207	3.31673
JGI_V11_PST130_P503541	219	64.8974	339	432.491
JGI_V11_PST130_P498510	1161	982.316	14	1.18
JGI_V11_PST130_P503165	1641	1462.32	195	11.0407
JGI_V11_PST130_P496996	447	269.268	0	0
JGI_V11_PST130_P502966	2937	2758.32	51	1.53084
JGI_V11_PST130_P498074	2010	1831.32	200	9.04214
JGI_V11_PST130_P501125	3144	2965.32	86	2.40122
JGI_V11_PST130_P503365	279	110.089	0	0
JGI_V11_PST130_P488246	2262	2083.32	1	0.039742
JGI_V11_PST130_P489680	447	269.268	418.184	128.584
JGI_V11_PST130_P491731	702	523.445	8	1.26539
JGI_V11_PST130_P489797	1905	1726.32	166	7.96146
JGI_V11_PST130_P488272	1746	1567.32	240	12.6783
JGI_V11_PST130_P490013	300	128.206	205	132.388
JGI_V11_PST130_P491856	342	166.86	0	0
JGI_V11_PST130_P492558	207	57.3271	0	0
JGI_V11_PST130_P502991	510	331.853	21	5.23936
JGI_V11_PST130_P492967	462	284.126	0	0
JGI_V11_PST130_P488313	279	110.089	67	50.3892
JGI_V11_PST130_P491144	432	254.453	0	0
JGI_V11_PST130_P500947	804	625.335	3	0.397203
JGI_V11_PST130_P493370	399	221.9	480	179.097
JGI_V11_PST130_P499615	1506	1327.32	66	4.11694
JGI_V11_PST130_P503304	537	358.738	195	45.0051
JGI_V11_PST130_P494788	231	72.933	0	0
JGI_V11_PST130_P504103	906	727.316	127	14.4572
JGI_V11_PST130_P495319	2436	2257.32	44	1.61386
JGI_V11_PST130_P497124	294	122.938	0	0
JGI_V11_PST130_P491965	375	198.481	0	0
JGI_V11_PST130_P488308	666	487.476	1268	215.363
JGI_V11_PST130_P491674	2043	1864.32	58	2.57581
JGI_V11_PST130_P494706	576	397.625	2	0.416448
JGI_V11_PST130_P488584	480	302.008	127	34.8169
JGI_V11_PST130_P493395	1491	1312.32	69	4.35327
JGI_V11_PST130_P490089	1782	1603.32	330	17.0412
JGI_V11_PST130_P500912	1266	1087.32	4	0.304585
JGI_V11_PST130_P502633	1185	1006.32	160	13.1641
JGI_V11_PST130_P500952	318	144.423	2	1.14656
JGI_V11_PST130_P488977	648	469.504	2	0.352692
JGI_V11_PST130_P488868	2169	1990.32	81	3.36952
JGI_V11_PST130_P488493	210	59.1474	0	0
JGI_V11_PST130_P487031	843	664.316	1	0.124632
JGI_V11_PST130_P496079	1158	979.316	509	43.0328
JGI_V11_PST130_P491196	333	158.353	0	0
JGI_V11_PST130_P497923	675	496.468	5	0.833841
JGI_V11_PST130_P488821	633	454.518	0	0
JGI_V11_PST130_P489426	870	691.316	238	28.5039
JGI_V11_PST130_P496630	747	568.38	9	1.31102
JGI_V11_PST130_P491775	861	682.316	71	8.61544
JGI_V11_PST130_P501425	2817	2638.32	43	1.34942
JGI_V11_PST130_P490238	474	296.026	0	0
JGI_V11_PST130_P490063	393	216.032	121	46.3736
JGI_V11_PST130_P503040	1023	844.316	124	12.1597
JGI_V11_PST130_P493931	288	117.67	0	0
JGI_V11_PST130_P501267	279	110.089	186	139.886
JGI_V11_PST130_P498821	1794	1615.32	0	0
JGI_V11_PST130_P490212	504	325.863	0	0
JGI_V11_PST130_P489902	1302	1123.32	0	0
JGI_V11_PST130_P496900	741	562.389	0	0
JGI_V11_PST130_P494460	1602	1423.32	0	0
JGI_V11_PST130_P487409	459	281.156	0	0
JGI_V11_PST130_P498777	384	207.227	0	0
JGI_V11_PST130_P502392	1503	1324.32	0	0
JGI_V11_PST130_P497532	306	133.517	0	0
JGI_V11_PST130_P487727	654	475.49	198	34.4769
JGI_V11_PST130_P488299	1011	832.316	1	0.0994756
JGI_V11_PST130_P491334	240	79.3541	0	0
JGI_V11_PST130_P497313	642	463.511	61	10.8962
JGI_V11_PST130_P489001	1788	1609.32	1	0.0514474
JGI_V11_PST130_P504390	1446	1267.32	1	0.0653311
JGI_V11_PST130_P500016	1002	823.316	105	10.5591
JGI_V11_PST130_P493008	1122	943.316	759	66.6176
JGI_V11_PST130_P494101	1206	1027.32	927	74.7103
JGI_V11_PST130_P501742	1038	859.316	54	5.2029
JGI_V11_PST130_P496689	801	622.335	378	50.2889
JGI_V11_PST130_P502088	1269	1090.32	324	24.6035
JGI_V11_PST130_P492731	681	502.461	513	84.5318
JGI_V11_PST130_P501567	762	583.371	4900	695.434
JGI_V11_PST130_P504570	1290	1111.32	199	14.8259
JGI_V11_PST130_P487885	1113	934.316	31	2.74709
JGI_V11_PST130_P494206	534	355.77	2	0.465442
JGI_V11_PST130_P501964	639	460.511	7148	1285.14
JGI_V11_PST130_P486792	2010	1831.32	0	0
JGI_V11_PST130_P489455	480	302.008	5	1.37074
JGI_V11_PST130_P494973	1035	856.316	0	0
JGI_V11_PST130_P493976	936	757.316	0	0
JGI_V11_PST130_P502017	276	107.555	0	0
JGI_V11_PST130_P500300	1596	1417.32	268	15.6557
JGI_V11_PST130_P494435	477	299.017	0	0
